Iteration,Improved path distance,Iteration path,Execution time,Total travel distance,Number of vehicles used
0,2498.2112574563544,"0, 0, 53, 0, 83, 84, 17, 0, 27, 28, 80, 0, 89, 13, 0, 58, 0, 6, 94, 0, 40, 74, 0, 62, 90, 32, 0, 68, 77, 0, 73, 21, 56, 4, 54, 55, 25, 0, 95, 99, 96, 97, 0, 12, 26, 0, 52, 18, 8, 0, 79, 3, 0, 50, 1, 0, 60, 0, 69, 31, 10, 70, 0, 76, 78, 34, 0, 30, 20, 35, 0, 16, 37, 91, 100, 0, 9, 81, 0, 59, 92, 98, 85, 93, 0, 33, 51, 0, 5, 61, 86, 41, 22, 43, 0, 44, 0, 45, 46, 0, 82, 7, 88, 48, 0, 2, 57, 87, 0, 47, 49, 0, 65, 71, 66, 0, 15, 14, 0, 75, 23, 0, 11, 19, 0, 42, 39, 72, 67, 24, 0, 63, 64, 0, 29, 38, 0, 36, 0",0.406,2498.21,38
1,2262.0085115935663,"0, 0, 53, 58, 0, 27, 28, 2, 87, 97, 0, 10, 66, 56, 0, 26, 4, 54, 55, 25, 0, 47, 82, 7, 88, 20, 0, 12, 80, 0, 77, 0, 51, 9, 81, 0, 40, 73, 74, 0, 69, 1, 70, 0, 31, 30, 90, 32, 0, 89, 13, 0, 52, 18, 37, 0, 94, 6, 96, 93, 0, 95, 59, 92, 98, 85, 91, 100, 0, 76, 50, 3, 24, 68, 35, 0, 17, 0, 83, 45, 5, 84, 60, 0, 8, 46, 48, 0, 62, 11, 19, 64, 49, 0, 15, 43, 0, 99, 61, 16, 0, 79, 78, 34, 0, 21, 22, 0, 14, 42, 57, 41, 0, 38, 44, 86, 0, 33, 29, 0, 36, 63, 71, 0, 72, 75, 23, 67, 0, 39, 65, 0",0.609,2262.01,31
6,2233.00590067039,"0, 0, 27, 1, 0, 53, 26, 4, 0, 6, 94, 13, 89, 0, 58, 0, 28, 50, 77, 0, 99, 96, 0, 69, 73, 74, 0, 15, 41, 22, 0, 40, 51, 9, 81, 79, 78, 34, 68, 80, 0, 95, 59, 92, 98, 37, 100, 17, 0, 83, 60, 0, 52, 18, 93, 0, 70, 0, 57, 87, 97, 0, 12, 29, 24, 54, 25, 0, 5, 84, 86, 0, 11, 19, 48, 0, 31, 88, 7, 55, 0, 36, 47, 49, 56, 0, 76, 3, 35, 0, 61, 16, 85, 91, 0, 39, 21, 75, 23, 67, 0, 10, 0, 33, 65, 71, 66, 20, 32, 0, 72, 2, 42, 44, 38, 0, 45, 8, 46, 0, 62, 90, 0, 14, 43, 0, 63, 30, 64, 0, 82, 0",1.622,2233.01,31
7,2219.8461555757253,"0, 0, 53, 58, 0, 6, 94, 13, 0, 89, 0, 27, 1, 0, 52, 18, 60, 0, 40, 50, 3, 77, 0, 12, 54, 55, 68, 80, 0, 28, 69, 30, 70, 0, 95, 59, 92, 99, 93, 0, 26, 4, 25, 24, 0, 48, 0, 51, 9, 81, 78, 34, 35, 0, 83, 45, 84, 91, 100, 0, 96, 97, 0, 38, 44, 0, 61, 16, 86, 37, 0, 85, 0, 42, 57, 87, 0, 2, 21, 73, 74, 0, 15, 43, 0, 79, 0, 17, 0, 82, 8, 46, 0, 31, 88, 11, 19, 32, 0, 33, 76, 0, 5, 98, 14, 41, 22, 0, 62, 7, 10, 0, 72, 75, 56, 0, 29, 71, 66, 20, 0, 39, 23, 67, 0, 47, 36, 49, 0, 90, 0, 65, 63, 64, 0",1.817,2219.85,34
8,2179.502187346161,"0, 0, 28, 27, 31, 88, 7, 0, 21, 73, 22, 41, 74, 0, 53, 13, 0, 89, 0, 58, 0, 26, 0, 77, 1, 0, 40, 51, 9, 81, 78, 34, 35, 0, 12, 80, 0, 52, 18, 60, 0, 6, 94, 0, 99, 96, 0, 69, 70, 0, 95, 59, 92, 98, 91, 100, 0, 79, 3, 50, 20, 0, 29, 24, 68, 0, 76, 85, 93, 0, 2, 57, 87, 97, 37, 0, 5, 84, 17, 0, 4, 55, 25, 0, 90, 32, 0, 83, 45, 8, 46, 48, 0, 72, 75, 56, 0, 82, 47, 36, 64, 11, 19, 62, 10, 0, 38, 44, 16, 86, 0, 14, 42, 43, 0, 63, 30, 66, 0, 33, 65, 71, 67, 0, 15, 61, 49, 0, 54, 0, 23, 0, 39, 0",2.015,2179.5,33
12,2168.313829495942,"0, 0, 53, 93, 0, 27, 28, 87, 97, 0, 52, 62, 88, 0, 40, 58, 0, 6, 94, 0, 89, 0, 79, 68, 77, 0, 5, 84, 60, 0, 42, 15, 43, 0, 69, 1, 70, 0, 2, 73, 21, 22, 41, 74, 0, 26, 0, 50, 20, 0, 12, 80, 0, 83, 17, 0, 13, 0, 39, 56, 0, 51, 9, 81, 78, 34, 35, 0, 95, 59, 92, 86, 0, 33, 29, 3, 0, 96, 0, 61, 16, 85, 91, 100, 0, 76, 30, 32, 0, 65, 71, 66, 0, 72, 75, 23, 67, 54, 4, 55, 25, 24, 0, 82, 7, 48, 0, 31, 10, 0, 18, 8, 46, 0, 99, 37, 0, 98, 44, 57, 0, 14, 38, 0, 45, 47, 36, 49, 0, 63, 90, 0, 11, 19, 64, 0",2.787,2168.31,35
17,2122.4035706620402,"0, 0, 27, 28, 52, 18, 60, 89, 70, 1, 0, 6, 94, 96, 0, 53, 40, 58, 0, 26, 77, 0, 95, 59, 92, 98, 37, 100, 91, 0, 5, 84, 17, 0, 76, 50, 3, 0, 13, 93, 0, 69, 31, 88, 10, 20, 66, 0, 12, 68, 80, 0, 45, 99, 97, 0, 67, 23, 0, 11, 19, 62, 90, 32, 0, 54, 55, 25, 0, 83, 46, 48, 0, 21, 73, 22, 41, 4, 0, 57, 0, 33, 81, 78, 34, 35, 0, 2, 87, 0, 79, 51, 9, 0, 72, 74, 0, 47, 36, 49, 0, 82, 7, 8, 0, 14, 44, 16, 38, 86, 43, 0, 61, 85, 0, 30, 29, 24, 0, 42, 15, 75, 56, 0, 39, 65, 71, 0, 63, 64, 0",3.748,2122.4,30
31,2118.2668814438975,"0, 0, 53, 80, 0, 85, 100, 91, 0, 28, 3, 77, 0, 27, 76, 50, 1, 0, 96, 93, 60, 0, 89, 58, 0, 52, 18, 8, 46, 48, 0, 42, 95, 59, 92, 37, 0, 26, 32, 70, 0, 6, 94, 13, 0, 12, 68, 0, 69, 31, 88, 7, 10, 0, 2, 57, 87, 97, 0, 63, 90, 0, 24, 0, 40, 73, 22, 41, 74, 0, 83, 45, 99, 0, 14, 44, 86, 17, 0, 21, 67, 25, 0, 54, 55, 4, 0, 33, 81, 9, 51, 20, 66, 0, 49, 0, 5, 16, 61, 84, 0, 47, 36, 64, 11, 19, 62, 30, 71, 35, 0, 82, 98, 38, 43, 0, 15, 23, 29, 79, 78, 34, 0, 72, 75, 56, 0, 65, 39, 0",6.398,2118.27,29
32,2052.310490161531,"0, 0, 53, 26, 0, 27, 28, 58, 0, 52, 82, 7, 88, 0, 42, 15, 57, 87, 91, 100, 0, 89, 0, 76, 50, 77, 0, 5, 84, 17, 0, 6, 94, 96, 93, 0, 95, 59, 92, 98, 85, 37, 97, 13, 0, 21, 56, 4, 80, 0, 19, 62, 10, 70, 1, 0, 40, 73, 74, 0, 12, 68, 0, 69, 31, 48, 0, 33, 81, 9, 51, 20, 32, 0, 2, 22, 41, 0, 14, 44, 86, 0, 18, 60, 0, 63, 90, 46, 0, 30, 79, 3, 24, 55, 25, 0, 61, 16, 38, 43, 0, 72, 75, 23, 67, 54, 0, 45, 8, 0, 83, 64, 11, 49, 0, 47, 36, 99, 78, 34, 35, 0, 65, 71, 66, 0, 29, 0, 39, 0",6.587,2052.31,29
36,2050.271643242489,"0, 0, 53, 40, 58, 0, 27, 76, 50, 77, 80, 0, 28, 26, 0, 89, 0, 6, 94, 0, 52, 18, 8, 0, 33, 81, 9, 51, 20, 32, 70, 1, 0, 95, 92, 59, 37, 100, 91, 0, 98, 85, 93, 0, 5, 84, 60, 0, 47, 36, 49, 46, 48, 0, 13, 0, 4, 55, 25, 0, 29, 79, 3, 68, 0, 87, 97, 96, 0, 42, 15, 57, 0, 69, 30, 10, 0, 2, 73, 74, 0, 61, 17, 0, 12, 21, 22, 41, 0, 99, 16, 86, 0, 72, 75, 56, 0, 31, 88, 62, 11, 19, 0, 82, 7, 0, 54, 24, 35, 0, 83, 45, 63, 90, 78, 34, 0, 14, 44, 38, 43, 0, 67, 23, 0, 39, 65, 71, 66, 0, 64, 0",7.328,2050.27,31
