Iteration,Improved path distance,Iteration path,Execution time,Total travel distance,Number of vehicles used
0,2451.3400645073752,"0, 0, 10, 4, 0, 93, 0, 20, 22, 21, 0, 67, 65, 68, 66, 69, 0, 7, 0, 60, 0, 50, 52, 49, 47, 0, 23, 0, 90, 62, 74, 51, 0, 63, 61, 64, 0, 9, 0, 24, 25, 27, 28, 26, 0, 1, 0, 40, 0, 75, 0, 5, 3, 2, 0, 8, 6, 0, 44, 45, 0, 36, 34, 0, 41, 0, 29, 30, 89, 91, 0, 11, 0, 43, 46, 48, 0, 70, 0, 14, 0, 81, 78, 76, 71, 73, 77, 79, 80, 0, 31, 0, 98, 96, 95, 94, 92, 88, 0, 55, 0, 42, 59, 0, 13, 17, 18, 19, 15, 16, 12, 99, 0, 72, 39, 0, 87, 86, 84, 85, 0, 83, 82, 97, 100, 0, 32, 35, 0, 57, 54, 53, 56, 58, 0, 33, 37, 38, 0",0.384,2451.34,38
1,2267.9674509617375,"0, 0, 65, 0, 67, 63, 61, 64, 68, 69, 0, 10, 11, 0, 5, 3, 4, 75, 0, 56, 58, 60, 0, 26, 23, 22, 21, 0, 41, 40, 44, 45, 48, 0, 43, 46, 47, 0, 27, 0, 42, 49, 0, 8, 6, 0, 20, 24, 25, 28, 0, 7, 9, 1, 0, 66, 0, 13, 17, 18, 19, 15, 16, 14, 12, 99, 0, 85, 88, 89, 91, 0, 54, 0, 52, 0, 84, 0, 51, 50, 0, 96, 94, 92, 93, 97, 100, 0, 74, 72, 0, 2, 0, 31, 35, 34, 0, 90, 86, 0, 62, 59, 0, 29, 30, 0, 87, 83, 82, 0, 53, 0, 57, 55, 37, 38, 39, 36, 0, 33, 0, 98, 95, 77, 79, 80, 0, 32, 71, 70, 73, 0, 81, 78, 76, 0",0.603,2267.97,35
2,1993.7763903062441,"0, 0, 26, 0, 20, 2, 1, 75, 0, 67, 65, 63, 62, 74, 72, 66, 69, 0, 48, 0, 27, 23, 22, 21, 0, 5, 6, 4, 0, 91, 0, 52, 49, 47, 0, 13, 17, 18, 15, 16, 14, 12, 0, 42, 41, 40, 44, 45, 0, 9, 0, 25, 28, 0, 36, 34, 0, 24, 29, 30, 0, 43, 46, 51, 50, 0, 7, 0, 87, 86, 84, 85, 88, 89, 0, 10, 11, 0, 55, 54, 56, 58, 60, 59, 0, 8, 0, 33, 0, 32, 31, 35, 37, 38, 39, 0, 81, 78, 76, 71, 77, 79, 80, 0, 57, 53, 68, 0, 98, 95, 94, 92, 93, 97, 100, 99, 0, 83, 82, 73, 0, 64, 0, 3, 0, 90, 96, 61, 0, 19, 0, 70, 0",0.803,1993.78,32
3,1691.7500044007631,"0, 0, 7, 8, 6, 4, 75, 0, 20, 21, 0, 10, 1, 0, 29, 0, 67, 65, 66, 69, 0, 22, 0, 40, 44, 45, 48, 50, 0, 2, 0, 5, 3, 9, 0, 23, 0, 43, 42, 41, 46, 51, 52, 49, 47, 0, 32, 33, 31, 35, 37, 38, 39, 34, 0, 64, 0, 26, 0, 63, 62, 72, 61, 68, 0, 28, 0, 24, 25, 27, 30, 0, 87, 86, 89, 91, 0, 90, 85, 88, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 11, 0, 36, 0, 83, 82, 84, 99, 0, 74, 0, 54, 56, 58, 60, 59, 0, 98, 96, 97, 100, 0, 57, 55, 53, 0, 95, 94, 92, 93, 0",0.997,1691.75,30
10,1654.8014299548402,"0, 0, 20, 22, 21, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 1, 0, 43, 42, 41, 40, 44, 45, 48, 50, 0, 24, 25, 27, 28, 26, 23, 0, 65, 0, 54, 56, 58, 60, 59, 0, 9, 6, 4, 0, 7, 8, 10, 11, 2, 75, 0, 90, 87, 86, 89, 91, 0, 69, 0, 84, 0, 15, 0, 67, 63, 62, 74, 72, 61, 64, 68, 66, 52, 49, 0, 14, 12, 0, 5, 3, 46, 47, 0, 51, 0, 29, 30, 34, 0, 83, 82, 85, 88, 0, 13, 16, 0, 17, 18, 19, 36, 0, 32, 33, 31, 35, 37, 38, 39, 0, 57, 55, 53, 80, 0, 81, 78, 76, 71, 70, 73, 77, 79, 0",2.32,1654.8,24
11,1589.2975388581006,"0, 0, 20, 21, 0, 90, 87, 86, 89, 91, 0, 67, 65, 63, 62, 66, 69, 0, 23, 22, 0, 4, 0, 5, 3, 7, 8, 9, 6, 2, 1, 75, 0, 24, 25, 28, 26, 0, 11, 0, 42, 41, 40, 44, 45, 48, 51, 50, 52, 49, 47, 0, 83, 84, 85, 88, 99, 0, 43, 46, 61, 64, 0, 10, 14, 12, 0, 29, 30, 0, 27, 34, 0, 74, 72, 68, 0, 57, 59, 0, 13, 17, 18, 19, 15, 16, 0, 32, 33, 31, 35, 36, 0, 98, 95, 94, 92, 93, 97, 100, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0, 54, 53, 56, 58, 60, 0, 55, 37, 38, 39, 0, 96, 82, 0",2.504,1589.3,24
18,1546.631122214973,"0, 0, 20, 21, 0, 11, 4, 75, 0, 23, 22, 0, 66, 69, 0, 43, 47, 0, 26, 0, 3, 7, 8, 6, 0, 67, 65, 63, 62, 74, 72, 61, 64, 68, 0, 24, 25, 27, 28, 0, 46, 45, 51, 50, 0, 29, 30, 0, 5, 2, 1, 0, 10, 9, 91, 0, 49, 0, 42, 41, 40, 44, 48, 52, 0, 98, 99, 0, 90, 87, 86, 89, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 32, 31, 35, 37, 38, 39, 36, 34, 0, 96, 95, 94, 92, 93, 97, 100, 0, 83, 82, 84, 85, 88, 0, 57, 59, 0, 55, 53, 56, 58, 60, 0, 33, 54, 0",3.766,1546.63,26
23,1484.3240442931892,"0, 0, 63, 0, 24, 25, 27, 28, 26, 23, 21, 0, 20, 22, 0, 67, 65, 40, 44, 45, 48, 51, 50, 47, 0, 5, 3, 7, 8, 9, 6, 4, 75, 0, 46, 49, 0, 74, 72, 61, 64, 68, 69, 0, 10, 11, 12, 0, 43, 42, 41, 62, 66, 52, 0, 29, 30, 34, 0, 2, 1, 0, 90, 87, 86, 88, 89, 91, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0, 33, 35, 37, 38, 39, 36, 0, 32, 31, 59, 0, 13, 17, 18, 19, 15, 16, 14, 100, 99, 0, 98, 96, 95, 94, 92, 93, 97, 0, 83, 84, 85, 0, 57, 55, 53, 56, 58, 60, 0, 54, 82, 0",4.655,1484.32,21
24,1478.7468214769033,"0, 0, 23, 22, 21, 0, 20, 28, 26, 0, 24, 25, 27, 29, 30, 34, 0, 42, 46, 47, 0, 6, 0, 5, 3, 7, 8, 9, 0, 62, 74, 72, 61, 64, 68, 69, 0, 66, 0, 2, 1, 75, 0, 67, 65, 63, 0, 43, 41, 40, 44, 45, 48, 51, 50, 49, 0, 11, 4, 0, 90, 87, 86, 89, 91, 0, 13, 17, 18, 19, 15, 16, 14, 12, 99, 0, 10, 0, 31, 35, 37, 38, 39, 36, 0, 32, 33, 52, 0, 88, 0, 82, 0, 98, 96, 95, 94, 92, 93, 97, 100, 0, 83, 84, 85, 59, 0, 57, 55, 54, 53, 56, 58, 60, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0",4.838,1478.75,24
26,1349.9422878864673,"0, 0, 20, 22, 21, 0, 65, 63, 62, 74, 72, 61, 64, 68, 69, 0, 5, 3, 7, 8, 9, 6, 4, 75, 0, 2, 1, 0, 10, 11, 88, 89, 91, 0, 24, 25, 27, 29, 30, 28, 26, 23, 0, 83, 82, 84, 85, 0, 42, 41, 40, 44, 45, 48, 50, 0, 67, 66, 52, 49, 47, 0, 43, 46, 51, 0, 54, 53, 58, 60, 59, 0, 90, 86, 0, 81, 78, 76, 71, 73, 77, 79, 80, 0, 13, 17, 18, 19, 15, 16, 14, 12, 99, 0, 98, 96, 95, 94, 92, 93, 97, 100, 0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0, 87, 70, 0, 57, 55, 56, 0",5.189,1349.94,19
