Iteration,Customer number at node,Moving from node,To node,Distance traveled,Arrival time,Ready time at node,Start service at node,End service at node,Due date at node,Difference between End service and Due Date,Vehicle capacity before departure,Vehicle capacity after departure,Total travel distance,Number of vehicles used,Penalty,Nodes visited
0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1236.0,1236.0,0,200,0.0,,0,"0, 0"
0,10.0,0,20,10.0,10.0,10.0,10.0,100.0,73.0,-27.0,10.0,190.0,10.0,,0,"0, 0, 20"
0,20.0,20,21,2.0,102.0,914.0,914.0,1004.0,965.0,-39.0,40.0,160.0,12.0,,0,"0, 0, 20, 21"
0,0.0,21,0,10.2,1014.2,0.0,1014.2,1014.2,1236.0,221.8,0,200,22.2,,0,"0, 0, 20, 21, 0"
0,20.0,0,22,12.17,12.17,812.0,812.0,902.0,883.0,-19.0,20.0,180.0,34.36,,0,"0, 0, 20, 21, 0, 22"
0,0.0,22,0,12.17,914.17,0.0,914.17,914.17,1236.0,321.83,0,200,46.53,,0,"0, 0, 20, 21, 0, 22, 0"
0,10.0,0,26,15.81,15.81,622.0,622.0,712.0,701.0,-11.0,10.0,190.0,62.34,,0,"0, 0, 20, 21, 0, 22, 0, 26"
0,0.0,26,0,15.81,727.81,0.0,727.81,727.81,1236.0,508.19,0,200,78.15,,0,"0, 0, 20, 21, 0, 22, 0, 26, 0"
0,10.0,0,10,16.76,16.76,357.0,357.0,447.0,410.0,-37.0,10.0,190.0,94.91,,0,"0, 0, 20, 21, 0, 22, 0, 26, 0, 10"
0,0.0,10,0,16.76,463.76,0.0,463.76,463.76,1236.0,772.24,0,200,111.68,,0,"0, 0, 20, 21, 0, 22, 0, 26, 0, 10, 0"
0,20.0,0,7,16.0,16.0,170.0,170.0,260.0,225.0,-35.0,20.0,180.0,127.68,,0,"0, 0, 20, 21, 0, 22, 0, 26, 0, 10, 0, 7"
0,20.0,7,8,2.83,262.83,255.0,262.83,352.83,324.0,-28.83,60.0,140.0,130.51,,0,"0, 0, 20, 21, 0, 22, 0, 26, 0, 10, 0, 7, 8"
0,10.0,8,9,2.0,354.83,534.0,534.0,624.0,605.0,-19.0,90.0,110.0,132.51,,0,"0, 0, 20, 21, 0, 22, 0, 26, 0, 10, 0, 7, 8, 9"
0,20.0,9,6,2.24,626.24,621.0,626.24,716.24,702.0,-14.24,120.0,80.0,134.74,,0,"0, 0, 20, 21, 0, 22, 0, 26, 0, 10, 0, 7, 8, 9, 6"
0,10.0,6,4,2.24,718.47,727.0,727.0,817.0,782.0,-35.0,150.0,50.0,136.98,,0,"0, 0, 20, 21, 0, 22, 0, 26, 0, 10, 0, 7, 8, 9, 6, 4"
0,30.0,4,2,3.61,820.61,825.0,825.0,915.0,870.0,-45.0,190.0,10.0,140.58,,0,"0, 0, 20, 21, 0, 22, 0, 26, 0, 10, 0, 7, 8, 9, 6, 4, 2"
0,0.0,2,0,20.62,935.62,0.0,935.62,935.62,1236.0,300.38,0,200,161.2,,0,"0, 0, 20, 21, 0, 22, 0, 26, 0, 10, 0, 7, 8, 9, 6, 4, 2, 0"
