Iteration,Improved path distance,Iteration path,Execution time,Total travel distance,Number of vehicles used
0,2523.7772381248933,"0, 0, 67, 65, 63, 61, 64, 68, 69, 0, 22, 21, 0, 5, 3, 4, 0, 91, 0, 20, 24, 27, 29, 30, 28, 1, 0, 23, 0, 66, 0, 8, 6, 2, 75, 0, 42, 41, 47, 0, 49, 0, 25, 26, 0, 44, 46, 45, 48, 50, 52, 0, 7, 9, 0, 83, 82, 88, 0, 62, 74, 72, 0, 11, 0, 93, 0, 43, 40, 51, 0, 10, 0, 90, 89, 0, 85, 0, 98, 99, 0, 87, 86, 84, 0, 92, 97, 100, 0, 53, 56, 60, 0, 35, 0, 13, 18, 19, 15, 14, 12, 0, 95, 0, 33, 0, 59, 0, 34, 0, 57, 55, 54, 58, 0, 32, 31, 36, 0, 78, 76, 71, 70, 73, 77, 79, 80, 0, 37, 38, 39, 0, 81, 16, 0, 17, 94, 0, 96, 0",0.305,2523.78,39
1,1993.9009161740307,"0, 0, 10, 75, 0, 78, 76, 71, 70, 73, 77, 79, 80, 0, 20, 22, 21, 0, 41, 40, 44, 45, 48, 50, 0, 67, 65, 63, 69, 0, 23, 0, 30, 28, 26, 51, 52, 49, 47, 0, 5, 3, 4, 0, 64, 0, 83, 82, 84, 85, 88, 0, 90, 89, 91, 0, 25, 27, 29, 0, 11, 0, 42, 46, 0, 43, 59, 0, 66, 0, 61, 68, 0, 32, 33, 31, 36, 34, 0, 8, 9, 6, 2, 1, 0, 7, 99, 0, 62, 74, 72, 0, 24, 37, 38, 39, 0, 98, 96, 95, 94, 93, 0, 87, 86, 92, 97, 100, 0, 19, 0, 13, 17, 18, 15, 14, 12, 0, 35, 16, 0, 57, 54, 53, 60, 0, 55, 56, 58, 0, 81, 0",0.411,1993.9,31
6,1986.6361098816224,"0, 0, 69, 0, 21, 0, 25, 27, 26, 22, 0, 67, 65, 63, 62, 74, 61, 64, 68, 0, 49, 47, 0, 8, 9, 6, 1, 0, 23, 0, 24, 0, 41, 40, 44, 45, 48, 50, 0, 90, 89, 91, 0, 20, 29, 30, 28, 0, 10, 11, 0, 18, 0, 5, 3, 4, 2, 75, 0, 7, 0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0, 43, 42, 46, 51, 52, 0, 66, 0, 96, 95, 94, 93, 0, 57, 59, 0, 72, 0, 53, 56, 58, 60, 0, 71, 70, 73, 77, 79, 80, 0, 87, 86, 88, 0, 16, 14, 12, 0, 19, 0, 17, 15, 0, 13, 100, 99, 0, 83, 82, 84, 85, 0, 55, 54, 0, 98, 92, 97, 0, 81, 78, 76, 0",0.867,1986.64,33
8,1943.0851659742495,"0, 0, 67, 65, 63, 69, 0, 62, 66, 0, 10, 11, 6, 4, 0, 83, 82, 84, 85, 88, 89, 91, 0, 29, 0, 21, 0, 20, 22, 0, 5, 3, 7, 8, 9, 2, 1, 75, 0, 26, 0, 98, 96, 95, 94, 93, 0, 44, 45, 48, 51, 52, 49, 47, 0, 92, 100, 99, 0, 23, 0, 90, 87, 86, 0, 24, 25, 27, 28, 0, 42, 41, 40, 46, 50, 0, 61, 64, 68, 0, 43, 59, 0, 38, 39, 36, 34, 0, 57, 55, 54, 53, 60, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0, 72, 0, 32, 33, 31, 35, 37, 0, 97, 12, 0, 30, 14, 0, 74, 0, 19, 15, 0, 13, 17, 18, 16, 0, 58, 0, 56, 0",1.039,1943.09,31
9,1918.2282110470132,"0, 0, 25, 22, 21, 0, 38, 39, 34, 0, 23, 0, 67, 65, 63, 74, 66, 69, 0, 5, 3, 7, 4, 1, 0, 20, 10, 11, 9, 6, 0, 24, 27, 26, 0, 43, 52, 49, 47, 0, 85, 88, 89, 91, 0, 72, 68, 0, 8, 75, 0, 62, 64, 0, 42, 40, 44, 45, 48, 51, 50, 0, 30, 28, 0, 53, 56, 58, 60, 0, 41, 46, 59, 0, 19, 15, 16, 14, 12, 0, 81, 78, 76, 77, 79, 80, 0, 29, 0, 98, 97, 0, 90, 87, 86, 83, 82, 84, 0, 13, 17, 18, 2, 0, 32, 33, 31, 35, 37, 36, 0, 61, 0, 57, 55, 54, 93, 0, 99, 0, 96, 95, 94, 92, 100, 0, 71, 70, 73, 0",1.127,1918.23,29
11,1902.1740722646998,"0, 0, 20, 22, 0, 62, 74, 61, 64, 68, 69, 0, 21, 0, 7, 0, 41, 46, 45, 48, 50, 52, 49, 47, 0, 43, 42, 40, 44, 59, 0, 67, 65, 63, 66, 0, 91, 0, 86, 0, 90, 89, 0, 72, 51, 2, 1, 0, 23, 0, 25, 26, 0, 57, 55, 54, 53, 56, 58, 60, 0, 8, 9, 6, 4, 0, 10, 11, 75, 0, 28, 0, 33, 0, 24, 27, 29, 30, 34, 0, 87, 83, 82, 84, 85, 88, 0, 98, 96, 95, 94, 93, 0, 5, 3, 12, 0, 13, 17, 18, 15, 16, 14, 0, 71, 70, 73, 77, 79, 80, 0, 32, 31, 35, 37, 38, 39, 36, 0, 97, 100, 99, 0, 92, 0, 19, 0, 81, 78, 76, 0",1.304,1902.17,30
12,1834.8783756832624,"0, 0, 20, 22, 21, 0, 67, 65, 63, 62, 74, 72, 61, 64, 68, 66, 69, 0, 23, 0, 24, 25, 27, 29, 30, 28, 26, 4, 0, 5, 3, 7, 8, 9, 6, 2, 1, 75, 0, 91, 0, 10, 11, 0, 41, 40, 44, 45, 48, 51, 50, 52, 49, 47, 0, 43, 42, 46, 0, 86, 88, 89, 0, 90, 87, 83, 82, 84, 85, 0, 13, 16, 14, 12, 0, 98, 95, 94, 93, 0, 36, 34, 0, 55, 0, 19, 15, 0, 96, 97, 100, 99, 0, 57, 59, 0, 32, 33, 31, 37, 38, 39, 0, 53, 56, 58, 60, 0, 92, 0, 35, 0, 17, 18, 0, 78, 76, 71, 70, 73, 77, 79, 80, 0, 54, 0, 81, 0",1.39,1834.88,27
15,1667.9263714440401,"0, 0, 20, 22, 21, 0, 67, 65, 63, 74, 72, 61, 64, 68, 66, 69, 0, 23, 0, 10, 11, 9, 6, 4, 1, 75, 0, 43, 47, 0, 62, 45, 48, 52, 49, 0, 7, 8, 0, 83, 82, 84, 85, 88, 89, 91, 0, 5, 3, 2, 0, 24, 25, 27, 29, 28, 26, 0, 41, 40, 0, 42, 46, 50, 0, 86, 0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0, 90, 87, 44, 59, 0, 30, 12, 0, 79, 0, 17, 18, 19, 15, 14, 0, 51, 0, 99, 0, 98, 96, 95, 94, 92, 93, 100, 0, 57, 55, 54, 53, 56, 58, 60, 0, 13, 16, 97, 0, 81, 78, 76, 71, 70, 73, 77, 80, 0",1.642,1667.93,25
17,1603.5063529570918,"0, 0, 47, 0, 24, 25, 27, 29, 30, 28, 26, 22, 21, 0, 20, 7, 8, 9, 6, 4, 1, 75, 0, 32, 33, 35, 37, 38, 39, 36, 34, 50, 0, 64, 0, 91, 0, 67, 65, 63, 72, 61, 68, 66, 69, 0, 23, 0, 5, 3, 2, 0, 41, 40, 44, 46, 45, 48, 49, 0, 12, 0, 43, 42, 51, 52, 0, 10, 11, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0, 83, 82, 84, 85, 88, 89, 0, 90, 87, 86, 92, 93, 0, 19, 15, 16, 14, 0, 62, 74, 0, 13, 17, 18, 0, 96, 95, 94, 100, 99, 0, 98, 97, 59, 0, 57, 55, 54, 53, 56, 58, 60, 0, 31, 0",1.81,1603.51,24
32,1507.8951395635452,"0, 0, 61, 64, 68, 69, 0, 20, 21, 0, 10, 11, 9, 6, 4, 1, 75, 0, 77, 79, 80, 0, 43, 47, 0, 24, 25, 27, 29, 30, 28, 26, 22, 0, 91, 0, 5, 3, 7, 8, 23, 2, 0, 73, 0, 100, 99, 0, 90, 87, 86, 83, 84, 85, 88, 89, 0, 67, 65, 63, 74, 66, 0, 62, 72, 0, 42, 41, 40, 44, 46, 50, 49, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 95, 94, 92, 93, 97, 0, 45, 48, 51, 52, 0, 98, 96, 82, 0, 57, 55, 54, 53, 56, 58, 60, 59, 0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0, 81, 78, 76, 71, 70, 0",3.06,1507.9,22
37,1430.1744745340543,"0, 0, 20, 21, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 43, 47, 0, 32, 33, 35, 37, 38, 34, 0, 23, 22, 0, 67, 65, 63, 72, 61, 68, 69, 0, 25, 27, 28, 26, 0, 24, 29, 30, 66, 0, 5, 3, 7, 9, 6, 1, 75, 0, 10, 11, 2, 0, 86, 84, 85, 88, 89, 91, 0, 62, 74, 64, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0, 41, 40, 44, 45, 48, 50, 49, 0, 8, 4, 0, 42, 46, 51, 52, 0, 90, 87, 83, 82, 60, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 31, 36, 0, 57, 55, 54, 53, 56, 58, 59, 0, 39, 0",3.485,1430.17,22
47,1414.184034526611,"0, 0, 23, 22, 21, 0, 26, 0, 8, 9, 6, 4, 2, 1, 75, 0, 25, 27, 28, 0, 62, 66, 69, 0, 20, 24, 29, 30, 34, 0, 65, 63, 74, 64, 68, 49, 47, 0, 67, 42, 41, 40, 44, 45, 48, 50, 52, 0, 5, 3, 7, 10, 11, 0, 83, 82, 84, 85, 88, 89, 91, 0, 43, 46, 51, 0, 54, 53, 56, 58, 60, 59, 0, 90, 87, 86, 61, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 36, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 32, 33, 35, 37, 38, 39, 0, 72, 0, 31, 0, 57, 55, 0",4.297,1414.18,22
67,1344.0158016258508,"0, 0, 20, 21, 0, 67, 65, 63, 74, 72, 61, 64, 68, 69, 0, 62, 66, 52, 49, 47, 0, 23, 22, 0, 5, 3, 4, 0, 25, 27, 29, 30, 28, 26, 0, 10, 11, 9, 6, 2, 1, 75, 0, 8, 0, 86, 0, 43, 42, 41, 40, 44, 46, 50, 0, 90, 87, 83, 84, 85, 88, 89, 91, 0, 12, 0, 31, 35, 37, 38, 39, 36, 34, 0, 7, 0, 13, 17, 18, 19, 15, 16, 14, 0, 24, 45, 48, 51, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 57, 55, 54, 53, 56, 58, 60, 59, 0, 32, 33, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0, 82, 0",5.908,1344.02,22
69,1306.534723746342,"0, 0, 25, 27, 28, 26, 22, 21, 0, 10, 11, 9, 6, 4, 2, 1, 75, 0, 20, 24, 29, 30, 23, 0, 64, 68, 49, 47, 0, 62, 66, 69, 0, 83, 82, 84, 85, 88, 89, 91, 0, 65, 63, 74, 72, 61, 0, 67, 42, 41, 40, 44, 46, 45, 48, 50, 52, 0, 57, 55, 54, 53, 56, 58, 60, 59, 0, 5, 3, 7, 8, 99, 0, 90, 87, 86, 51, 0, 43, 31, 35, 37, 38, 39, 36, 34, 0, 17, 18, 19, 15, 16, 14, 12, 0, 13, 92, 93, 97, 100, 0, 98, 96, 95, 94, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0, 32, 33, 0",6.067,1306.53,18
78,1241.5234572330035,"0, 0, 25, 27, 28, 26, 22, 21, 0, 20, 24, 29, 30, 23, 0, 67, 65, 63, 74, 72, 61, 64, 68, 69, 0, 90, 87, 86, 84, 85, 88, 89, 91, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0, 5, 3, 7, 8, 9, 6, 4, 2, 1, 75, 0, 43, 42, 41, 40, 44, 45, 48, 51, 50, 49, 47, 0, 10, 11, 12, 0, 62, 66, 52, 0, 13, 17, 18, 19, 15, 16, 14, 100, 99, 0, 31, 35, 37, 38, 39, 36, 34, 0, 98, 96, 95, 94, 92, 93, 97, 0, 82, 0, 57, 55, 54, 53, 56, 58, 60, 59, 0, 46, 0, 32, 33, 83, 0",6.766,1241.52,17
93,1173.6197196846283,"0, 0, 5, 3, 7, 8, 9, 6, 4, 1, 75, 0, 24, 25, 27, 28, 26, 22, 21, 0, 20, 23, 0, 46, 45, 48, 51, 50, 52, 49, 47, 0, 67, 65, 63, 74, 72, 61, 64, 68, 69, 0, 62, 66, 0, 10, 11, 2, 0, 90, 87, 86, 84, 85, 88, 89, 91, 0, 41, 40, 44, 0, 43, 42, 29, 30, 34, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 31, 35, 37, 38, 39, 36, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 32, 33, 83, 82, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0, 57, 55, 54, 53, 56, 58, 60, 59, 0",7.929,1173.62,17
116,1158.9800324140565,"0, 0, 5, 3, 7, 8, 9, 6, 4, 2, 1, 75, 0, 20, 21, 0, 24, 25, 27, 29, 30, 28, 26, 22, 0, 41, 40, 44, 45, 48, 51, 50, 49, 47, 0, 65, 63, 74, 66, 69, 0, 23, 0, 43, 42, 46, 59, 0, 67, 62, 72, 61, 64, 68, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 10, 11, 91, 0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0, 90, 87, 86, 84, 85, 88, 89, 0, 83, 82, 73, 77, 79, 80, 0, 81, 78, 76, 71, 70, 0, 57, 55, 54, 53, 56, 58, 60, 52, 0",9.744,1158.98,17
129,1145.579335693267,"0, 0, 65, 63, 74, 72, 61, 64, 68, 69, 0, 20, 21, 0, 5, 3, 7, 8, 9, 6, 4, 1, 75, 0, 46, 45, 48, 50, 49, 47, 0, 67, 62, 66, 52, 0, 43, 42, 41, 40, 44, 59, 0, 25, 27, 29, 30, 28, 26, 22, 0, 23, 0, 24, 18, 19, 15, 16, 14, 12, 0, 13, 17, 10, 11, 2, 0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0, 90, 87, 86, 84, 85, 88, 89, 91, 0, 57, 55, 54, 53, 56, 58, 60, 51, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 83, 82, 0",10.779,1145.58,17
137,1121.391969587128,"0, 0, 20, 21, 0, 67, 65, 63, 74, 72, 61, 64, 68, 69, 0, 43, 42, 41, 40, 44, 45, 48, 50, 52, 49, 47, 0, 23, 22, 0, 24, 25, 27, 29, 30, 28, 26, 0, 5, 3, 7, 8, 9, 6, 4, 1, 75, 0, 10, 11, 2, 0, 46, 51, 0, 90, 87, 86, 84, 85, 88, 89, 91, 0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0, 82, 0, 62, 66, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 83, 0, 57, 55, 54, 53, 56, 58, 60, 59, 0",11.417,1121.39,18
152,1093.471407390589,"0, 0, 23, 22, 21, 0, 26, 0, 20, 24, 25, 27, 29, 30, 28, 0, 5, 3, 7, 8, 9, 6, 4, 1, 75, 0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0, 90, 87, 86, 88, 89, 91, 0, 65, 63, 74, 66, 69, 0, 43, 42, 41, 40, 44, 45, 48, 51, 50, 52, 49, 47, 0, 67, 62, 72, 61, 64, 68, 0, 10, 11, 2, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 46, 59, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 83, 82, 84, 85, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0, 57, 55, 54, 53, 56, 58, 60, 0",12.584,1093.47,17
156,1079.2298507183607,"0, 0, 22, 21, 0, 90, 87, 86, 88, 91, 0, 43, 42, 41, 40, 44, 45, 48, 49, 47, 0, 65, 63, 74, 72, 61, 64, 68, 69, 0, 20, 24, 25, 27, 29, 30, 28, 26, 23, 0, 5, 3, 7, 4, 1, 75, 0, 67, 62, 66, 52, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0, 10, 11, 9, 6, 2, 0, 46, 51, 50, 0, 83, 82, 84, 85, 89, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0, 8, 0, 57, 55, 54, 53, 56, 58, 60, 59, 0",12.875,1079.23,17
158,1033.1152140841116,"0, 0, 8, 9, 6, 4, 1, 75, 0, 23, 22, 21, 0, 20, 24, 25, 27, 29, 30, 28, 26, 0, 67, 65, 63, 74, 72, 61, 64, 68, 69, 0, 5, 3, 7, 10, 11, 2, 0, 46, 45, 48, 49, 47, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 43, 42, 41, 40, 44, 51, 50, 52, 0, 62, 66, 0, 57, 55, 54, 53, 56, 58, 60, 59, 0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 90, 87, 86, 88, 91, 0, 83, 82, 84, 85, 89, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0",13.018,1033.12,16
