Iteration,Customer number at node,Moving from node,To node,Distance traveled,Arrival time,Ready time at node,Start service at node,End service at node,Due date at node,Difference between End service and Due Date,Vehicle capacity before departure,Vehicle capacity after departure,Total travel distance,Number of vehicles used,Penalty,Nodes visited
0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1236.0,1236.0,0,200,0.0,,0,"0, 0"
0,10.0,0,69,15.81,15.81,916.0,916.0,1006.0,969.0,-37.0,10.0,190.0,15.81,,0,"0, 0, 69"
0,10.0,69,47,15.0,1021.0,1054.0,1054.0,1144.0,1127.0,-17.0,30.0,170.0,30.81,,0,"0, 0, 69, 47"
0,0.0,47,0,18.03,1162.03,0.0,1162.03,1162.03,1236.0,73.97,0,200,48.84,,0,"0, 0, 69, 47, 0"
0,20.0,0,21,10.2,10.2,914.0,914.0,1004.0,965.0,-39.0,20.0,180.0,59.04,,0,"0, 0, 69, 47, 0, 21"
0,10.0,21,49,17.12,1021.12,1001.0,1021.12,1111.12,1066.0,-45.12,50.0,150.0,76.15,,0,"0, 0, 69, 47, 0, 21, 49"
0,0.0,49,0,19.21,1130.33,0.0,1130.33,1130.33,1236.0,105.67,0,200,95.36,,0,"0, 0, 69, 47, 0, 21, 49, 0"
0,20.0,0,62,18.03,18.03,262.0,262.0,352.0,317.0,-35.0,20.0,180.0,113.39,,0,"0, 0, 69, 47, 0, 21, 49, 0, 62"
0,50.0,62,74,3.0,355.0,353.0,355.0,445.0,412.0,-33.0,90.0,110.0,116.39,,0,"0, 0, 69, 47, 0, 21, 49, 0, 62, 74"
0,10.0,74,1,33.96,478.96,912.0,912.0,1002.0,967.0,-35.0,150.0,50.0,150.35,,0,"0, 0, 69, 47, 0, 21, 49, 0, 62, 74, 1"
0,20.0,1,75,3.0,1005.0,997.0,1005.0,1095.0,1068.0,-27.0,180.0,20.0,153.35,,0,"0, 0, 69, 47, 0, 21, 49, 0, 62, 74, 1, 75"
