Iteration,Improved path distance,Iteration path,Execution time,Total travel distance,Number of vehicles used
0,2412.64645950605,"0, 0, 23, 22, 21, 0, 62, 66, 69, 0, 47, 0, 20, 24, 25, 26, 0, 27, 30, 28, 0, 7, 4, 0, 67, 65, 63, 64, 68, 0, 44, 45, 0, 5, 3, 6, 0, 61, 0, 10, 11, 9, 0, 59, 0, 75, 0, 42, 40, 0, 74, 72, 60, 0, 85, 0, 41, 0, 98, 96, 95, 94, 92, 93, 97, 99, 0, 82, 0, 100, 2, 1, 0, 48, 51, 50, 52, 49, 0, 8, 0, 33, 31, 35, 38, 0, 89, 91, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 43, 46, 0, 29, 34, 0, 70, 73, 77, 79, 0, 90, 87, 86, 88, 0, 37, 36, 0, 83, 84, 80, 0, 53, 56, 58, 0, 57, 55, 54, 0, 71, 0, 32, 39, 0, 78, 76, 0, 81, 0",0.436,2412.65,38
1,2002.1010815737927,"0, 0, 20, 21, 0, 65, 0, 40, 0, 2, 1, 75, 0, 66, 69, 0, 23, 22, 0, 67, 63, 74, 61, 64, 68, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 11, 9, 0, 28, 26, 0, 10, 6, 0, 42, 41, 46, 45, 48, 51, 50, 52, 49, 47, 0, 5, 3, 4, 0, 43, 44, 0, 7, 8, 29, 0, 62, 72, 0, 27, 30, 0, 38, 0, 24, 25, 36, 34, 0, 85, 0, 90, 89, 91, 0, 84, 0, 31, 35, 37, 39, 0, 17, 18, 19, 15, 16, 14, 12, 0, 13, 88, 0, 86, 0, 57, 55, 54, 53, 56, 58, 60, 59, 0, 80, 0, 87, 83, 82, 0, 32, 33, 71, 73, 77, 79, 0, 81, 78, 76, 70, 0",0.645,2002.1,32
3,1846.3715238027025,"0, 0, 23, 22, 21, 0, 20, 25, 26, 0, 41, 40, 44, 50, 47, 0, 67, 65, 63, 64, 68, 69, 0, 27, 30, 28, 0, 5, 3, 10, 11, 9, 6, 4, 0, 24, 29, 48, 0, 42, 46, 45, 49, 0, 90, 89, 91, 0, 75, 0, 7, 8, 2, 1, 0, 43, 52, 0, 37, 38, 39, 36, 34, 0, 86, 0, 74, 61, 0, 62, 72, 59, 0, 55, 54, 53, 56, 58, 60, 0, 84, 88, 0, 96, 95, 94, 92, 93, 97, 100, 99, 0, 83, 82, 85, 0, 66, 0, 98, 87, 77, 79, 0, 32, 33, 31, 35, 51, 0, 81, 78, 76, 71, 70, 73, 80, 0, 14, 12, 0, 13, 15, 16, 0, 17, 18, 19, 0, 57, 0",1.041,1846.37,29
4,1811.006820731493,"0, 0, 21, 0, 23, 22, 0, 24, 25, 27, 30, 28, 26, 0, 68, 69, 0, 66, 0, 65, 0, 20, 6, 4, 0, 43, 52, 49, 47, 0, 62, 74, 61, 64, 0, 41, 40, 44, 45, 48, 50, 0, 5, 3, 7, 8, 11, 9, 75, 0, 42, 46, 51, 0, 67, 63, 83, 88, 0, 29, 2, 1, 0, 10, 91, 0, 90, 84, 85, 89, 0, 57, 55, 54, 53, 56, 60, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0, 82, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 72, 79, 0, 87, 86, 73, 77, 0, 78, 76, 71, 70, 80, 0, 59, 0, 81, 58, 0",1.238,1811.01,27
5,1787.7991020507861,"0, 0, 10, 11, 34, 0, 20, 21, 0, 67, 65, 63, 74, 72, 61, 64, 68, 69, 0, 24, 25, 27, 28, 26, 22, 0, 46, 45, 48, 50, 49, 47, 0, 23, 0, 87, 86, 89, 91, 0, 90, 88, 0, 5, 3, 7, 8, 9, 6, 4, 1, 75, 0, 62, 66, 0, 96, 95, 94, 92, 93, 97, 100, 99, 2, 0, 43, 42, 40, 44, 51, 52, 0, 98, 0, 41, 58, 0, 30, 0, 29, 36, 0, 83, 82, 84, 85, 0, 55, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 78, 76, 70, 73, 77, 79, 0, 53, 56, 60, 59, 0, 31, 35, 0, 32, 33, 37, 38, 39, 0, 57, 54, 71, 0, 81, 80, 0",1.432,1787.8,26
7,1722.3946934353044,"0, 0, 23, 22, 21, 0, 72, 61, 64, 68, 69, 0, 20, 24, 25, 27, 28, 26, 0, 6, 4, 1, 0, 67, 65, 63, 74, 0, 3, 7, 8, 9, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 10, 11, 2, 75, 0, 5, 50, 52, 49, 47, 0, 43, 42, 41, 40, 44, 45, 48, 51, 0, 62, 66, 0, 29, 30, 89, 91, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 90, 87, 86, 88, 0, 55, 59, 0, 46, 0, 31, 35, 37, 38, 39, 36, 34, 0, 32, 33, 56, 58, 60, 0, 84, 85, 0, 57, 54, 53, 80, 0, 82, 0, 83, 0, 77, 79, 0, 81, 78, 76, 71, 70, 73, 0",1.818,1722.39,25
15,1616.3247894635765,"0, 0, 20, 21, 0, 10, 11, 9, 6, 4, 1, 75, 0, 23, 22, 0, 5, 3, 7, 8, 2, 0, 67, 65, 63, 66, 69, 0, 74, 0, 24, 25, 27, 28, 26, 0, 43, 46, 45, 48, 51, 52, 49, 47, 0, 62, 61, 64, 68, 0, 57, 55, 54, 53, 56, 58, 60, 59, 0, 41, 40, 44, 0, 31, 35, 37, 38, 39, 36, 34, 0, 72, 0, 29, 30, 89, 91, 0, 42, 50, 0, 88, 0, 86, 0, 32, 33, 15, 16, 14, 12, 0, 90, 87, 83, 82, 85, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 17, 18, 19, 0, 78, 76, 71, 70, 73, 77, 79, 80, 0, 13, 84, 0, 81, 0",3.331,1616.32,25
18,1539.7160391548625,"0, 0, 29, 30, 28, 26, 0, 25, 27, 0, 20, 21, 0, 65, 63, 62, 66, 69, 0, 74, 72, 61, 64, 68, 0, 67, 11, 9, 6, 4, 1, 75, 0, 23, 22, 0, 2, 0, 90, 87, 86, 89, 91, 0, 43, 46, 45, 48, 51, 50, 52, 49, 47, 0, 7, 8, 10, 0, 24, 34, 0, 41, 40, 44, 0, 5, 3, 100, 99, 0, 42, 83, 82, 84, 85, 88, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 98, 96, 95, 94, 92, 93, 97, 0, 57, 55, 59, 0, 32, 33, 31, 35, 37, 38, 39, 36, 0, 54, 53, 56, 58, 60, 80, 0, 78, 76, 70, 73, 77, 79, 0, 81, 71, 0",3.951,1539.72,23
23,1493.9660457255827,"0, 0, 20, 21, 0, 67, 65, 63, 62, 74, 72, 61, 64, 68, 69, 0, 25, 27, 28, 26, 22, 0, 11, 9, 6, 4, 1, 75, 0, 23, 0, 5, 3, 7, 8, 10, 2, 0, 43, 42, 44, 45, 48, 50, 52, 49, 47, 0, 33, 37, 38, 39, 36, 34, 0, 24, 29, 30, 0, 32, 31, 35, 51, 0, 84, 85, 88, 89, 91, 0, 66, 0, 41, 40, 46, 59, 0, 57, 55, 54, 53, 56, 58, 60, 80, 0, 86, 0, 87, 83, 82, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 90, 94, 92, 93, 97, 100, 99, 0, 98, 96, 95, 0, 78, 76, 70, 73, 77, 79, 0, 81, 71, 0",4.889,1493.97,22
30,1481.147347585861,"0, 0, 67, 65, 63, 74, 72, 61, 64, 68, 69, 0, 5, 3, 7, 6, 4, 1, 75, 0, 20, 22, 21, 0, 23, 0, 52, 49, 47, 0, 24, 29, 30, 28, 26, 0, 41, 40, 44, 45, 48, 50, 0, 43, 42, 46, 51, 0, 25, 27, 10, 11, 9, 0, 66, 0, 17, 18, 19, 14, 12, 0, 2, 0, 90, 87, 86, 89, 91, 0, 8, 0, 54, 56, 58, 60, 59, 0, 33, 36, 34, 0, 62, 85, 88, 0, 32, 31, 35, 37, 38, 39, 0, 83, 82, 84, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0, 13, 15, 16, 0, 57, 55, 53, 0",6.148,1481.15,24
