Iteration,Customer number at node,Moving from node,To node,Distance traveled,Arrival time,Ready time at node,Start service at node,End service at node,Due date at node,Difference between End service and Due Date,Vehicle capacity before departure,Vehicle capacity after departure,Total travel distance,Number of vehicles used,Penalty,Nodes visited
0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1236.0,1236.0,0,200,0.0,,0,"0, 0"
0,10.0,0,4,18.11,18.11,727.0,727.0,817.0,782.0,-35.0,10.0,190.0,18.11,,0,"0, 0, 4"
0,30.0,4,2,3.61,820.61,825.0,825.0,915.0,870.0,-45.0,50.0,150.0,21.72,,0,"0, 0, 4, 2"
0,10.0,2,1,2.0,917.0,912.0,917.0,1007.0,967.0,-40.0,90.0,110.0,23.72,,0,"0, 0, 4, 2, 1"
0,20.0,1,75,3.0,1010.0,997.0,1010.0,1100.0,1068.0,-32.0,120.0,80.0,26.72,,0,"0, 0, 4, 2, 1, 75"
0,0.0,75,0,15.81,1115.81,0.0,1115.81,1115.81,1236.0,120.19,0,200,42.53,,0,"0, 0, 4, 2, 1, 75, 0"
0,10.0,0,20,10.0,10.0,10.0,10.0,100.0,73.0,-27.0,10.0,190.0,52.53,,0,"0, 0, 4, 2, 1, 75, 0, 20"
0,20.0,20,21,2.0,102.0,914.0,914.0,1004.0,965.0,-39.0,40.0,160.0,54.53,,0,"0, 0, 4, 2, 1, 75, 0, 20, 21"
0,0.0,21,0,10.2,1014.2,0.0,1014.2,1014.2,1236.0,221.8,0,200,64.73,,0,"0, 0, 4, 2, 1, 75, 0, 20, 21, 0"
0,10.0,0,49,19.21,19.21,1001.0,1001.0,1091.0,1066.0,-25.0,10.0,190.0,83.94,,0,"0, 0, 4, 2, 1, 75, 0, 20, 21, 0, 49"
0,0.0,49,0,19.21,1110.21,0.0,1110.21,1110.21,1236.0,125.79,0,200,103.14,,0,"0, 0, 4, 2, 1, 75, 0, 20, 21, 0, 49, 0"
0,10.0,0,65,12.81,12.81,76.0,76.0,166.0,129.0,-37.0,10.0,190.0,115.95,,0,"0, 0, 4, 2, 1, 75, 0, 20, 21, 0, 49, 0, 65"
0,0.0,65,0,12.81,178.81,0.0,178.81,178.81,1236.0,1057.19,0,200,128.76,,0,"0, 0, 4, 2, 1, 75, 0, 20, 21, 0, 49, 0, 65, 0"
0,10.0,0,24,15.0,15.0,65.0,65.0,155.0,144.0,-11.0,10.0,190.0,143.76,,0,"0, 0, 4, 2, 1, 75, 0, 20, 21, 0, 49, 0, 65, 0, 24"
0,40.0,24,25,2.0,157.0,169.0,169.0,259.0,224.0,-35.0,60.0,140.0,145.76,,0,"0, 0, 4, 2, 1, 75, 0, 20, 21, 0, 49, 0, 65, 0, 24, 25"
0,20.0,25,22,3.0,262.0,812.0,812.0,902.0,883.0,-19.0,120.0,80.0,148.76,,0,"0, 0, 4, 2, 1, 75, 0, 20, 21, 0, 49, 0, 65, 0, 24, 25, 22"
0,0.0,22,0,12.17,914.17,0.0,914.17,914.17,1236.0,321.83,0,200,160.92,,0,"0, 0, 4, 2, 1, 75, 0, 20, 21, 0, 49, 0, 65, 0, 24, 25, 22, 0"
0,10.0,0,68,20.62,20.62,734.0,734.0,824.0,777.0,-47.0,10.0,190.0,181.54,,0,"0, 0, 4, 2, 1, 75, 0, 20, 21, 0, 49, 0, 65, 0, 24, 25, 22, 0, 68"
0,0.0,68,0,20.62,844.62,0.0,844.62,844.62,1236.0,391.38,0,200,202.15,,0,"0, 0, 4, 2, 1, 75, 0, 20, 21, 0, 49, 0, 65, 0, 24, 25, 22, 0, 68, 0"
0,50.0,0,74,19.85,19.85,353.0,353.0,443.0,412.0,-31.0,50.0,150.0,222.0,,0,"0, 0, 4, 2, 1, 75, 0, 20, 21, 0, 49, 0, 65, 0, 24, 25, 22, 0, 68, 0, 74"
0,0.0,74,0,19.85,462.85,0.0,462.85,462.85,1236.0,773.15,0,200,241.85,,0,"0, 0, 4, 2, 1, 75, 0, 20, 21, 0, 49, 0, 65, 0, 24, 25, 22, 0, 68, 0, 74, 0"
0,20.0,0,62,18.03,18.03,262.0,262.0,352.0,317.0,-35.0,20.0,180.0,259.88,,0,"0, 0, 4, 2, 1, 75, 0, 20, 21, 0, 49, 0, 65, 0, 24, 25, 22, 0, 68, 0, 74, 0, 62"
0,10.0,62,66,3.0,355.0,826.0,826.0,916.0,875.0,-41.0,50.0,150.0,262.88,,0,"0, 0, 4, 2, 1, 75, 0, 20, 21, 0, 49, 0, 65, 0, 24, 25, 22, 0, 68, 0, 74, 0, 62, 66"
0,10.0,66,69,2.0,918.0,916.0,918.0,1008.0,969.0,-39.0,70.0,130.0,264.88,,0,"0, 0, 4, 2, 1, 75, 0, 20, 21, 0, 49, 0, 65, 0, 24, 25, 22, 0, 68, 0, 74, 0, 62, 66, 69"
0,0.0,69,0,15.81,1023.81,0.0,1023.81,1023.81,1236.0,212.19,0,200,280.69,,0,"0, 0, 4, 2, 1, 75, 0, 20, 21, 0, 49, 0, 65, 0, 24, 25, 22, 0, 68, 0, 74, 0, 62, 66, 69, 0"
0,10.0,0,55,35.06,35.06,95.0,95.0,185.0,158.0,-27.0,10.0,190.0,315.75,,0,"0, 0, 4, 2, 1, 75, 0, 20, 21, 0, 49, 0, 65, 0, 24, 25, 22, 0, 68, 0, 74, 0, 62, 66, 69, 0, 55"
0,0.0,55,0,35.06,220.06,0.0,220.06,220.06,1236.0,1015.94,0,200,350.81,,0,"0, 0, 4, 2, 1, 75, 0, 20, 21, 0, 49, 0, 65, 0, 24, 25, 22, 0, 68, 0, 74, 0, 62, 66, 69, 0, 55, 0"
0,10.0,0,26,15.81,15.81,622.0,622.0,712.0,701.0,-11.0,10.0,190.0,366.62,,0,"0, 0, 4, 2, 1, 75, 0, 20, 21, 0, 49, 0, 65, 0, 24, 25, 22, 0, 68, 0, 74, 0, 62, 66, 69, 0, 55, 0, 26"
