Iteration,Improved path distance,Iteration path,Execution time,Total travel distance,Number of vehicles used
0,2476.0894989229632,"0, 0, 42, 41, 40, 44, 45, 48, 0, 23, 22, 21, 0, 11, 0, 27, 30, 28, 26, 0, 20, 47, 0, 57, 59, 0, 34, 0, 7, 4, 2, 1, 75, 0, 51, 50, 52, 49, 0, 91, 0, 67, 65, 63, 62, 64, 66, 69, 0, 24, 25, 29, 36, 0, 6, 0, 3, 0, 5, 8, 9, 0, 68, 0, 43, 46, 0, 10, 100, 0, 90, 89, 0, 84, 85, 88, 0, 74, 72, 61, 0, 94, 93, 0, 87, 86, 83, 82, 0, 38, 0, 55, 54, 53, 56, 58, 60, 0, 13, 17, 18, 15, 12, 0, 39, 0, 98, 96, 95, 92, 99, 0, 81, 77, 79, 0, 97, 0, 14, 0, 35, 0, 70, 73, 0, 16, 0, 32, 33, 31, 37, 0, 78, 76, 71, 80, 0, 19, 0",0.41,2476.09,38
1,2175.125308912311,"0, 0, 5, 3, 8, 9, 6, 0, 20, 21, 0, 23, 22, 0, 65, 63, 62, 66, 69, 0, 27, 0, 67, 64, 0, 74, 68, 0, 24, 25, 29, 28, 26, 0, 10, 11, 0, 43, 46, 45, 48, 50, 52, 49, 47, 0, 7, 4, 1, 75, 0, 41, 40, 44, 0, 100, 0, 85, 88, 89, 91, 0, 42, 51, 0, 99, 0, 18, 15, 12, 0, 98, 92, 93, 0, 32, 33, 31, 35, 37, 38, 36, 34, 0, 30, 0, 87, 86, 83, 82, 84, 79, 0, 96, 95, 94, 97, 2, 0, 17, 0, 19, 16, 14, 0, 57, 59, 0, 90, 73, 0, 56, 58, 60, 0, 61, 0, 72, 0, 13, 39, 0, 55, 54, 53, 80, 0, 81, 78, 76, 71, 70, 77, 0",0.623,2175.13,33
3,2060.380957419142,"0, 0, 20, 21, 0, 19, 15, 12, 0, 30, 28, 26, 23, 22, 0, 65, 63, 0, 43, 41, 40, 44, 46, 45, 52, 49, 47, 0, 67, 74, 72, 61, 68, 69, 0, 42, 50, 0, 27, 29, 0, 75, 0, 24, 25, 39, 36, 34, 0, 5, 3, 8, 9, 6, 4, 1, 0, 7, 10, 11, 2, 0, 62, 66, 0, 55, 54, 53, 56, 58, 60, 0, 32, 33, 31, 35, 16, 14, 0, 17, 18, 0, 90, 89, 91, 0, 48, 51, 0, 86, 0, 84, 85, 88, 0, 87, 82, 0, 64, 0, 95, 94, 93, 0, 57, 59, 80, 0, 13, 38, 0, 83, 0, 98, 96, 97, 100, 99, 0, 81, 78, 76, 71, 70, 73, 77, 79, 0, 37, 0, 92, 0",1.023,2060.38,31
4,1686.3811159853576,"0, 0, 20, 21, 0, 65, 0, 37, 38, 39, 36, 34, 0, 90, 89, 0, 40, 44, 45, 48, 50, 52, 49, 47, 0, 66, 69, 0, 67, 63, 62, 74, 72, 61, 64, 68, 0, 23, 22, 0, 24, 25, 27, 28, 26, 0, 5, 3, 4, 1, 75, 0, 7, 10, 11, 9, 6, 0, 43, 42, 41, 46, 51, 0, 30, 0, 8, 2, 0, 83, 82, 84, 85, 88, 91, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0, 18, 19, 15, 16, 14, 12, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 29, 0, 87, 86, 0, 13, 17, 35, 0, 59, 0, 32, 33, 31, 58, 0, 55, 0, 56, 0, 57, 54, 53, 60, 0",1.229,1686.38,27
12,1475.8919888766063,"0, 0, 5, 3, 4, 0, 65, 0, 49, 47, 0, 11, 9, 6, 1, 0, 67, 63, 62, 74, 72, 61, 64, 68, 69, 0, 21, 0, 23, 0, 7, 8, 10, 75, 0, 20, 22, 0, 29, 0, 57, 55, 54, 53, 56, 58, 60, 59, 0, 24, 25, 27, 26, 0, 90, 87, 86, 83, 82, 85, 88, 91, 0, 43, 42, 41, 40, 44, 45, 48, 50, 52, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 46, 51, 0, 66, 0, 84, 89, 2, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 30, 28, 34, 0, 36, 0, 32, 33, 31, 35, 37, 38, 39, 0, 81, 78, 76, 71, 70, 79, 0, 73, 77, 80, 0",2.705,1475.89,25
16,1403.9298741292525,"0, 0, 21, 0, 24, 25, 27, 28, 26, 23, 22, 0, 5, 3, 4, 0, 20, 41, 40, 44, 45, 48, 50, 52, 49, 47, 0, 67, 65, 63, 62, 74, 61, 64, 68, 0, 43, 42, 51, 0, 77, 79, 80, 0, 7, 6, 1, 75, 0, 29, 30, 34, 0, 10, 11, 9, 0, 66, 69, 0, 31, 35, 37, 38, 39, 36, 0, 46, 0, 90, 87, 86, 83, 82, 84, 85, 88, 89, 91, 0, 8, 2, 0, 13, 17, 18, 15, 16, 14, 12, 0, 57, 55, 54, 53, 56, 58, 60, 59, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 32, 33, 19, 72, 0, 81, 78, 76, 71, 70, 73, 0",3.428,1403.93,21
20,1379.1544578256282,"0, 0, 20, 21, 0, 8, 11, 9, 6, 1, 75, 0, 30, 28, 26, 23, 22, 0, 65, 63, 62, 74, 72, 61, 64, 68, 69, 0, 67, 41, 40, 45, 48, 50, 52, 49, 47, 0, 25, 27, 29, 0, 46, 51, 0, 24, 0, 5, 3, 4, 2, 0, 7, 10, 91, 0, 90, 87, 86, 83, 82, 84, 85, 88, 89, 0, 39, 36, 34, 0, 66, 0, 43, 42, 44, 58, 60, 0, 96, 95, 94, 92, 93, 97, 99, 0, 32, 33, 31, 35, 37, 38, 59, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0, 98, 100, 0, 57, 55, 54, 53, 56, 0",4.131,1379.15,21
24,1345.6594701203205,"0, 0, 20, 21, 0, 25, 27, 29, 30, 28, 26, 23, 22, 0, 67, 65, 63, 62, 74, 72, 61, 64, 68, 69, 0, 41, 40, 44, 45, 48, 50, 52, 49, 47, 0, 43, 42, 46, 51, 0, 77, 79, 80, 0, 66, 0, 11, 9, 6, 4, 1, 75, 0, 5, 3, 7, 8, 10, 91, 0, 90, 87, 86, 83, 82, 84, 85, 88, 89, 0, 24, 31, 35, 37, 38, 39, 36, 34, 0, 13, 17, 18, 15, 16, 14, 12, 0, 96, 95, 94, 92, 93, 97, 99, 0, 98, 100, 2, 0, 32, 33, 19, 0, 55, 59, 0, 57, 54, 53, 56, 58, 60, 0, 81, 78, 76, 71, 70, 73, 0",4.829,1345.66,19
33,1343.1785606974206,"0, 0, 10, 11, 9, 6, 4, 1, 75, 0, 20, 21, 0, 29, 30, 28, 26, 23, 22, 0, 40, 44, 45, 48, 50, 52, 49, 47, 0, 67, 65, 63, 62, 66, 69, 0, 5, 3, 7, 8, 2, 0, 74, 72, 61, 64, 68, 0, 25, 27, 0, 90, 89, 91, 0, 83, 82, 84, 85, 88, 0, 41, 0, 13, 17, 18, 15, 16, 14, 12, 0, 24, 31, 35, 37, 38, 39, 36, 34, 0, 43, 42, 46, 51, 0, 55, 59, 0, 32, 33, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 57, 54, 53, 56, 58, 60, 0, 87, 86, 19, 0",6.356,1343.18,21
37,1294.7003296708451,"0, 0, 67, 66, 69, 0, 77, 79, 80, 0, 20, 21, 0, 46, 45, 48, 50, 52, 49, 47, 0, 24, 25, 27, 29, 30, 28, 26, 23, 22, 0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 1, 75, 0, 83, 82, 84, 85, 88, 89, 91, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 40, 44, 51, 0, 74, 72, 64, 68, 0, 65, 63, 62, 61, 0, 43, 42, 41, 2, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 90, 87, 86, 0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0, 81, 78, 76, 71, 70, 73, 0, 56, 58, 60, 0, 57, 55, 54, 53, 59, 0",7.01,1294.7,19
