Iteration,Customer number at node,Moving from node,To node,Distance traveled,Arrival time,Ready time at node,Start service at node,End service at node,Due date at node,Difference between End service and Due Date,Vehicle capacity before departure,Vehicle capacity after departure,Total travel distance,Number of vehicles used,Penalty,Nodes visited
0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1236.0,1236.0,0,200,0.0,,0,"0, 0"
0,10.0,0,5,15.13,15.13,15.0,15.13,105.13,67.0,-38.13,10.0,190.0,15.13,,0,"0, 0, 5"
0,10.0,5,3,1.0,106.13,65.0,106.13,196.13,146.0,-50.13,30.0,170.0,16.13,,0,"0, 0, 5, 3"
0,10.0,3,4,2.0,198.13,727.0,727.0,817.0,782.0,-35.0,50.0,150.0,18.13,,0,"0, 0, 5, 3, 4"
0,10.0,4,1,3.0,820.0,912.0,912.0,1002.0,967.0,-35.0,70.0,130.0,21.13,,0,"0, 0, 5, 3, 4, 1"
0,10.0,1,47,36.25,1038.25,1054.0,1054.0,1144.0,1127.0,-17.0,90.0,110.0,57.38,,0,"0, 0, 5, 3, 4, 1, 47"
0,0.0,47,0,18.03,1162.03,0.0,1162.03,1162.03,1236.0,73.97,0,200,75.41,,0,"0, 0, 5, 3, 4, 1, 47, 0"
0,10.0,0,20,10.0,10.0,10.0,10.0,100.0,73.0,-27.0,10.0,190.0,85.41,,0,"0, 0, 5, 3, 4, 1, 47, 0, 20"
0,10.0,20,23,5.39,105.39,732.0,732.0,822.0,777.0,-45.0,30.0,170.0,90.79,,0,"0, 0, 5, 3, 4, 1, 47, 0, 20, 23"
0,30.0,23,2,22.67,844.67,825.0,844.67,934.67,870.0,-64.67,70.0,130.0,113.47,,0,"0, 0, 5, 3, 4, 1, 47, 0, 20, 23, 2"
0,20.0,2,75,5.0,939.67,997.0,997.0,1087.0,1068.0,-19.0,120.0,80.0,118.47,,0,"0, 0, 5, 3, 4, 1, 47, 0, 20, 23, 2, 75"
0,0.0,75,0,15.81,1102.81,0.0,1102.81,1102.81,1236.0,133.19,0,200,134.28,,0,"0, 0, 5, 3, 4, 1, 47, 0, 20, 23, 2, 75, 0"
0,50.0,0,74,19.85,19.85,353.0,353.0,443.0,412.0,-31.0,50.0,150.0,154.13,,0,"0, 0, 5, 3, 4, 1, 47, 0, 20, 23, 2, 75, 0, 74"
0,20.0,74,6,36.4,479.4,621.0,621.0,711.0,702.0,-9.0,120.0,80.0,190.53,,0,"0, 0, 5, 3, 4, 1, 47, 0, 20, 23, 2, 75, 0, 74, 6"
0,20.0,6,21,19.72,730.72,914.0,914.0,1004.0,965.0,-39.0,160.0,40.0,210.25,,0,"0, 0, 5, 3, 4, 1, 47, 0, 20, 23, 2, 75, 0, 74, 6, 21"
0,10.0,21,49,17.12,1021.12,1001.0,1021.12,1111.12,1066.0,-45.12,190.0,10.0,227.37,,0,"0, 0, 5, 3, 4, 1, 47, 0, 20, 23, 2, 75, 0, 74, 6, 21, 49"
0,0.0,49,0,19.21,1130.33,0.0,1130.33,1130.33,1236.0,105.67,0,200,246.58,,0,"0, 0, 5, 3, 4, 1, 47, 0, 20, 23, 2, 75, 0, 74, 6, 21, 49, 0"
0,10.0,0,24,15.0,15.0,65.0,65.0,155.0,144.0,-11.0,10.0,190.0,261.58,,0,"0, 0, 5, 3, 4, 1, 47, 0, 20, 23, 2, 75, 0, 74, 6, 21, 49, 0, 24"
0,40.0,24,25,2.0,157.0,169.0,169.0,259.0,224.0,-35.0,60.0,140.0,263.58,,0,"0, 0, 5, 3, 4, 1, 47, 0, 20, 23, 2, 75, 0, 74, 6, 21, 49, 0, 24, 25"
0,10.0,25,27,2.0,261.0,261.0,261.0,351.0,316.0,-35.0,110.0,90.0,265.58,,0,"0, 0, 5, 3, 4, 1, 47, 0, 20, 23, 2, 75, 0, 74, 6, 21, 49, 0, 24, 25, 27"
0,20.0,27,28,3.0,354.0,546.0,546.0,636.0,593.0,-43.0,140.0,60.0,268.58,,0,"0, 0, 5, 3, 4, 1, 47, 0, 20, 23, 2, 75, 0, 74, 6, 21, 49, 0, 24, 25, 27, 28"
0,10.0,28,26,2.0,638.0,622.0,638.0,728.0,701.0,-27.0,170.0,30.0,270.58,,0,"0, 0, 5, 3, 4, 1, 47, 0, 20, 23, 2, 75, 0, 74, 6, 21, 49, 0, 24, 25, 27, 28, 26"
0,20.0,26,22,4.24,732.24,812.0,812.0,902.0,883.0,-19.0,200.0,0.0,274.82,,0,"0, 0, 5, 3, 4, 1, 47, 0, 20, 23, 2, 75, 0, 74, 6, 21, 49, 0, 24, 25, 27, 28, 26, 22"
0,0.0,22,0,12.17,914.17,0.0,914.17,914.17,1236.0,321.83,0,200,286.99,,0,"0, 0, 5, 3, 4, 1, 47, 0, 20, 23, 2, 75, 0, 74, 6, 21, 49, 0, 24, 25, 27, 28, 26, 22, 0"
0,20.0,0,17,33.3,33.3,99.0,99.0,189.0,148.0,-41.0,20.0,180.0,320.29,,0,"0, 0, 5, 3, 4, 1, 47, 0, 20, 23, 2, 75, 0, 74, 6, 21, 49, 0, 24, 25, 27, 28, 26, 22, 0, 17"
0,20.0,17,18,3.0,192.0,179.0,192.0,282.0,254.0,-28.0,60.0,140.0,323.29,,0,"0, 0, 5, 3, 4, 1, 47, 0, 20, 23, 2, 75, 0, 74, 6, 21, 49, 0, 24, 25, 27, 28, 26, 22, 0, 17, 18"
0,10.0,18,10,21.93,303.93,357.0,357.0,447.0,410.0,-37.0,90.0,110.0,345.22,,0,"0, 0, 5, 3, 4, 1, 47, 0, 20, 23, 2, 75, 0, 74, 6, 21, 49, 0, 24, 25, 27, 28, 26, 22, 0, 17, 18, 10"
