Iteration,Improved path distance,Iteration path,Execution time,Total travel distance,Number of vehicles used
0,2282.6139536986866,"0, 0, 8, 6, 4, 1, 0, 67, 65, 63, 80, 0, 28, 22, 21, 0, 24, 25, 29, 0, 51, 50, 0, 5, 3, 7, 9, 0, 66, 0, 30, 0, 74, 61, 64, 68, 69, 0, 62, 72, 0, 20, 89, 0, 84, 85, 88, 91, 0, 27, 26, 23, 0, 75, 0, 38, 0, 43, 47, 0, 77, 79, 0, 10, 11, 2, 0, 41, 40, 44, 46, 45, 48, 52, 49, 0, 42, 59, 0, 96, 97, 0, 16, 14, 12, 0, 35, 0, 39, 36, 34, 0, 31, 0, 33, 0, 90, 83, 82, 0, 57, 55, 54, 53, 56, 58, 60, 0, 37, 0, 98, 95, 94, 92, 93, 100, 99, 0, 87, 86, 15, 0, 13, 17, 18, 19, 0, 81, 78, 76, 71, 70, 73, 0, 32, 0",0.398,2282.61,35
1,2273.2089058106694,"0, 0, 20, 21, 0, 3, 7, 8, 9, 6, 1, 0, 45, 48, 0, 11, 0, 10, 4, 2, 0, 67, 65, 62, 66, 69, 0, 22, 0, 24, 25, 27, 28, 26, 23, 0, 5, 75, 0, 79, 0, 43, 42, 40, 50, 0, 31, 35, 37, 38, 39, 36, 34, 0, 68, 0, 83, 84, 85, 88, 91, 0, 30, 0, 12, 0, 55, 58, 60, 0, 74, 61, 64, 0, 63, 29, 0, 41, 47, 0, 57, 59, 0, 90, 87, 86, 89, 0, 49, 0, 78, 76, 70, 73, 77, 80, 0, 98, 95, 92, 93, 97, 0, 32, 33, 51, 52, 0, 46, 0, 17, 19, 15, 16, 14, 0, 13, 18, 100, 99, 0, 44, 0, 96, 94, 82, 0, 72, 0, 54, 56, 0, 53, 0, 81, 71, 0",0.597,2273.21,36
2,2131.404646747899,"0, 0, 56, 58, 60, 23, 0, 41, 40, 44, 45, 48, 51, 50, 49, 0, 74, 0, 20, 21, 0, 30, 28, 26, 0, 66, 69, 0, 5, 3, 7, 8, 9, 0, 67, 65, 63, 62, 72, 61, 64, 68, 0, 75, 0, 25, 22, 0, 43, 47, 0, 24, 46, 0, 91, 0, 85, 88, 2, 1, 0, 35, 37, 38, 39, 36, 34, 0, 27, 29, 0, 42, 52, 0, 15, 16, 14, 12, 0, 4, 0, 10, 11, 6, 0, 77, 79, 80, 0, 83, 84, 89, 0, 95, 94, 93, 0, 90, 87, 86, 82, 100, 99, 0, 32, 33, 31, 59, 0, 57, 55, 54, 53, 73, 0, 96, 97, 0, 13, 17, 18, 19, 0, 98, 92, 0, 78, 76, 71, 70, 0, 81, 0",0.794,2131.4,32
4,2000.775343586282,"0, 0, 20, 21, 0, 30, 28, 26, 23, 22, 0, 43, 40, 44, 45, 48, 51, 50, 49, 47, 0, 4, 0, 84, 85, 88, 89, 91, 0, 67, 65, 63, 62, 66, 69, 0, 41, 0, 24, 25, 27, 29, 11, 100, 99, 0, 42, 46, 52, 0, 32, 33, 31, 35, 38, 39, 36, 34, 0, 5, 3, 7, 8, 9, 6, 75, 0, 10, 1, 0, 12, 0, 87, 86, 83, 82, 79, 0, 96, 97, 0, 74, 72, 61, 64, 68, 0, 90, 92, 93, 0, 2, 0, 37, 60, 0, 55, 0, 54, 53, 56, 58, 59, 0, 57, 77, 80, 0, 98, 95, 94, 14, 0, 13, 17, 18, 19, 15, 16, 0, 78, 76, 0, 81, 71, 70, 73, 0",1.18,2000.78,27
5,1752.3404697259548,"0, 0, 67, 65, 63, 69, 0, 98, 96, 94, 92, 93, 97, 100, 99, 0, 21, 0, 20, 25, 26, 0, 22, 0, 5, 3, 7, 8, 9, 6, 4, 2, 1, 75, 0, 46, 45, 48, 51, 50, 52, 49, 47, 0, 66, 0, 90, 95, 91, 0, 10, 11, 0, 42, 41, 40, 44, 61, 64, 68, 0, 28, 23, 0, 27, 29, 30, 0, 74, 72, 0, 87, 85, 88, 89, 0, 62, 0, 43, 24, 37, 39, 36, 34, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 32, 33, 31, 35, 38, 59, 0, 57, 55, 54, 53, 56, 58, 60, 80, 0, 84, 0, 81, 78, 76, 71, 73, 0, 83, 82, 0, 77, 79, 0, 86, 70, 0",1.362,1752.34,26
15,1561.0006434216045,"0, 0, 22, 21, 0, 20, 25, 27, 30, 28, 26, 23, 0, 62, 66, 69, 0, 5, 3, 9, 6, 1, 75, 0, 67, 65, 63, 74, 72, 61, 64, 68, 0, 43, 48, 51, 50, 52, 49, 47, 0, 44, 45, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 10, 11, 0, 41, 40, 0, 24, 29, 0, 87, 86, 88, 89, 91, 0, 84, 85, 0, 42, 46, 0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0, 90, 83, 82, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 4, 2, 0, 8, 0, 7, 0, 57, 55, 59, 0, 53, 56, 58, 60, 0, 70, 73, 77, 79, 80, 0, 81, 78, 76, 71, 0, 54, 0",3.2,1561.0,26
21,1541.6383875326492,"0, 0, 8, 9, 2, 1, 75, 0, 27, 30, 28, 26, 23, 21, 0, 20, 24, 25, 22, 0, 46, 45, 48, 51, 50, 52, 49, 47, 0, 66, 69, 0, 6, 4, 0, 10, 11, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 67, 65, 63, 74, 72, 61, 64, 68, 0, 43, 42, 41, 40, 44, 59, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 87, 86, 89, 91, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0, 3, 7, 0, 5, 0, 62, 84, 85, 88, 0, 57, 55, 54, 58, 60, 0, 90, 83, 82, 36, 34, 0, 53, 56, 39, 0, 32, 33, 31, 35, 38, 0, 37, 0, 29, 0",4.277,1541.64,23
22,1521.45043212416,"0, 0, 77, 79, 0, 20, 21, 0, 67, 65, 63, 74, 72, 61, 64, 68, 66, 69, 0, 8, 9, 6, 4, 1, 75, 0, 24, 25, 26, 23, 22, 0, 7, 0, 43, 41, 40, 44, 45, 48, 51, 50, 49, 47, 0, 5, 3, 11, 0, 10, 0, 96, 95, 94, 92, 93, 97, 100, 99, 0, 98, 84, 85, 88, 89, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 27, 29, 30, 28, 34, 0, 54, 53, 58, 60, 59, 0, 62, 0, 42, 46, 52, 0, 90, 91, 0, 81, 78, 76, 71, 70, 73, 80, 0, 2, 0, 87, 86, 83, 82, 36, 0, 32, 33, 31, 35, 37, 38, 39, 0, 57, 55, 56, 0",4.453,1521.45,23
24,1520.7646463228966,"0, 0, 20, 21, 0, 67, 65, 63, 62, 66, 69, 0, 87, 86, 88, 89, 91, 0, 22, 0, 8, 9, 6, 4, 0, 46, 45, 48, 51, 50, 52, 49, 47, 0, 7, 0, 28, 26, 23, 0, 10, 11, 1, 75, 0, 5, 3, 2, 0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0, 41, 40, 44, 0, 43, 42, 60, 59, 0, 29, 30, 0, 24, 25, 27, 0, 90, 92, 93, 97, 100, 99, 0, 84, 85, 0, 72, 61, 64, 68, 0, 74, 77, 79, 80, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 98, 96, 95, 94, 0, 57, 55, 54, 53, 56, 58, 0, 83, 82, 0, 81, 78, 76, 71, 70, 73, 0",4.8,1520.76,25
26,1517.912770696286,"0, 0, 67, 65, 63, 62, 74, 72, 61, 64, 68, 66, 69, 0, 28, 26, 23, 22, 21, 0, 20, 27, 29, 30, 52, 49, 47, 0, 41, 40, 44, 45, 48, 51, 50, 0, 90, 84, 85, 88, 89, 75, 0, 87, 86, 83, 82, 91, 0, 7, 4, 1, 0, 24, 25, 0, 5, 3, 9, 6, 0, 43, 42, 46, 2, 0, 55, 0, 8, 11, 0, 10, 0, 13, 17, 18, 19, 16, 14, 12, 0, 96, 95, 94, 92, 93, 97, 100, 99, 0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0, 57, 59, 0, 81, 78, 76, 71, 73, 77, 79, 80, 0, 98, 70, 0, 15, 0, 54, 53, 56, 58, 60, 0",5.141,1517.91,22
