Iteration,Improved path distance,Iteration path,Execution time,Total travel distance,Number of vehicles used
0,2307.553637127062,"0, 0, 53, 0, 84, 0, 97, 0, 27, 28, 12, 26, 0, 90, 0, 58, 25, 0, 24, 0, 89, 0, 18, 60, 0, 82, 48, 0, 40, 6, 94, 13, 0, 69, 1, 0, 30, 70, 0, 7, 88, 0, 59, 98, 37, 100, 91, 0, 20, 66, 0, 44, 38, 61, 16, 86, 93, 0, 10, 0, 31, 51, 9, 81, 0, 52, 83, 8, 17, 0, 2, 57, 87, 0, 21, 73, 22, 74, 0, 85, 43, 0, 72, 75, 67, 23, 56, 4, 55, 54, 68, 80, 77, 0, 76, 50, 3, 0, 96, 0, 99, 0, 95, 92, 42, 15, 41, 0, 5, 45, 47, 62, 49, 0, 33, 79, 78, 34, 35, 0, 29, 0, 63, 64, 11, 19, 0, 14, 46, 0, 36, 65, 71, 32, 0, 39, 0",0.926,2307.55,36
8,2264.2125043950055,"0, 0, 18, 60, 0, 53, 0, 27, 1, 0, 89, 0, 58, 0, 44, 85, 37, 0, 28, 76, 50, 80, 77, 0, 69, 70, 0, 93, 0, 7, 88, 0, 31, 10, 0, 47, 8, 49, 0, 2, 75, 74, 0, 72, 73, 21, 40, 68, 0, 52, 83, 96, 0, 99, 6, 94, 97, 0, 95, 92, 100, 91, 0, 12, 26, 54, 4, 55, 25, 24, 0, 98, 61, 16, 86, 0, 59, 5, 84, 17, 0, 13, 0, 14, 38, 43, 0, 87, 0, 82, 46, 48, 0, 33, 81, 9, 35, 0, 3, 0, 45, 19, 62, 11, 0, 30, 71, 66, 20, 0, 63, 90, 32, 0, 42, 15, 57, 22, 41, 56, 0, 29, 79, 78, 34, 0, 51, 0, 39, 23, 67, 0, 36, 64, 0, 65, 0",2.532,2264.21,36
9,2256.1898367669905,"0, 0, 28, 1, 0, 53, 58, 89, 0, 27, 88, 62, 10, 70, 0, 40, 94, 0, 42, 86, 43, 17, 60, 0, 13, 0, 52, 18, 7, 48, 0, 95, 92, 97, 37, 100, 91, 0, 69, 50, 3, 77, 0, 26, 0, 99, 93, 0, 31, 5, 84, 8, 0, 96, 0, 87, 54, 4, 25, 0, 76, 68, 80, 0, 79, 78, 34, 35, 0, 6, 0, 51, 9, 81, 0, 21, 73, 0, 72, 75, 56, 0, 98, 85, 0, 38, 44, 0, 61, 16, 0, 2, 57, 22, 74, 0, 14, 59, 83, 45, 47, 36, 46, 0, 12, 29, 24, 55, 0, 66, 20, 0, 82, 11, 19, 49, 0, 90, 32, 0, 41, 0, 33, 65, 71, 30, 0, 39, 23, 67, 0, 63, 64, 15, 0",2.731,2256.19,34
10,2213.229336001121,"0, 0, 53, 58, 0, 27, 28, 12, 26, 0, 67, 56, 0, 89, 0, 52, 94, 13, 0, 40, 0, 69, 19, 62, 10, 70, 1, 0, 6, 99, 93, 0, 24, 0, 85, 91, 100, 0, 98, 37, 0, 95, 92, 97, 43, 0, 21, 73, 74, 0, 3, 77, 80, 0, 96, 0, 76, 50, 68, 0, 18, 60, 0, 39, 23, 75, 22, 55, 25, 0, 14, 44, 16, 61, 84, 0, 31, 88, 32, 0, 7, 48, 0, 2, 87, 0, 29, 79, 78, 34, 35, 0, 33, 81, 9, 51, 20, 66, 0, 42, 15, 57, 41, 4, 54, 0, 59, 5, 83, 45, 8, 0, 47, 36, 46, 0, 30, 90, 0, 72, 71, 0, 82, 11, 0, 63, 64, 49, 0, 38, 86, 17, 0, 65, 0",2.926,2213.23,34
12,2189.223634563936,"0, 0, 57, 87, 97, 96, 0, 89, 0, 53, 70, 1, 0, 85, 91, 13, 0, 27, 28, 73, 21, 0, 26, 58, 0, 6, 93, 0, 33, 81, 9, 51, 78, 34, 35, 0, 40, 56, 0, 94, 0, 52, 31, 11, 62, 10, 0, 69, 79, 3, 77, 0, 95, 92, 59, 98, 37, 100, 0, 76, 84, 17, 60, 0, 19, 48, 0, 50, 68, 80, 0, 99, 61, 16, 0, 18, 0, 12, 29, 24, 55, 25, 0, 5, 83, 45, 8, 46, 0, 88, 7, 0, 2, 75, 74, 0, 43, 0, 82, 47, 36, 90, 32, 0, 30, 20, 66, 0, 72, 54, 4, 0, 39, 23, 67, 22, 41, 0, 14, 44, 15, 0, 42, 38, 86, 49, 0, 63, 64, 71, 0, 65, 0",3.311,2189.22,32
13,2178.8219201870575,"0, 0, 28, 1, 0, 53, 58, 0, 27, 7, 88, 0, 82, 48, 0, 79, 3, 77, 80, 0, 89, 0, 40, 57, 87, 97, 0, 18, 60, 0, 96, 93, 0, 52, 31, 50, 0, 26, 54, 55, 25, 24, 0, 6, 94, 0, 69, 70, 0, 76, 12, 68, 0, 13, 0, 14, 44, 91, 100, 0, 98, 37, 0, 95, 92, 59, 99, 61, 16, 86, 84, 17, 0, 30, 20, 66, 35, 0, 2, 75, 56, 4, 0, 85, 0, 21, 73, 74, 0, 5, 83, 8, 46, 0, 29, 78, 34, 0, 72, 22, 41, 0, 33, 81, 9, 51, 49, 0, 42, 15, 43, 0, 10, 0, 90, 32, 0, 39, 23, 67, 38, 0, 45, 47, 36, 64, 19, 62, 11, 0, 63, 71, 0, 65, 0",3.503,2178.82,34
15,2158.219472691514,"0, 0, 28, 26, 0, 27, 69, 1, 0, 7, 18, 60, 0, 53, 58, 0, 6, 94, 13, 0, 89, 0, 40, 73, 0, 72, 21, 75, 74, 0, 52, 88, 62, 10, 70, 0, 90, 32, 0, 95, 92, 59, 98, 37, 100, 91, 0, 2, 87, 97, 96, 0, 61, 16, 86, 0, 76, 50, 3, 77, 80, 0, 82, 48, 0, 85, 93, 0, 31, 11, 43, 0, 12, 68, 0, 57, 41, 22, 56, 4, 55, 25, 24, 0, 99, 8, 46, 0, 39, 23, 67, 54, 0, 42, 15, 79, 81, 0, 51, 9, 35, 0, 19, 49, 0, 84, 17, 0, 5, 83, 45, 47, 36, 14, 44, 38, 0, 29, 78, 34, 0, 33, 20, 66, 0, 30, 71, 0, 65, 63, 64, 0",3.881,2158.22,31
19,1925.0134261755693,"0, 0, 53, 58, 0, 27, 69, 1, 68, 80, 77, 0, 99, 93, 0, 89, 0, 52, 31, 88, 62, 10, 70, 0, 28, 76, 79, 3, 50, 0, 18, 60, 0, 94, 13, 0, 40, 73, 74, 0, 6, 96, 0, 21, 75, 56, 4, 54, 55, 25, 24, 0, 42, 43, 0, 7, 48, 0, 59, 92, 98, 37, 100, 91, 0, 83, 5, 84, 17, 0, 26, 0, 95, 97, 0, 30, 20, 66, 0, 61, 16, 85, 87, 0, 72, 22, 41, 57, 0, 12, 29, 78, 34, 35, 0, 63, 90, 32, 0, 2, 15, 14, 44, 38, 86, 0, 51, 9, 81, 0, 39, 23, 67, 0, 82, 8, 46, 0, 47, 49, 0, 33, 65, 71, 19, 0, 45, 36, 11, 64, 0",4.639,1925.01,30
40,1910.202259820292,"0, 0, 27, 28, 76, 50, 3, 77, 80, 0, 53, 58, 0, 52, 31, 88, 62, 10, 70, 1, 0, 89, 0, 94, 13, 0, 12, 68, 0, 40, 73, 74, 0, 6, 96, 0, 26, 32, 0, 2, 57, 87, 97, 37, 100, 91, 93, 0, 36, 11, 19, 49, 0, 61, 16, 86, 0, 95, 59, 92, 98, 85, 99, 0, 72, 22, 41, 56, 4, 54, 55, 25, 24, 0, 5, 84, 17, 0, 82, 8, 46, 48, 0, 18, 60, 0, 69, 66, 20, 0, 21, 75, 15, 43, 0, 83, 38, 44, 0, 7, 51, 9, 81, 79, 78, 34, 35, 0, 42, 14, 45, 47, 64, 0, 33, 65, 71, 30, 90, 0, 39, 23, 67, 0, 63, 29, 0",8.506,1910.2,26
47,1851.972944903934,"0, 0, 28, 12, 26, 58, 0, 27, 69, 1, 0, 53, 6, 94, 57, 0, 18, 60, 0, 40, 73, 74, 0, 89, 0, 52, 31, 88, 62, 10, 70, 0, 95, 97, 37, 100, 91, 93, 0, 2, 87, 13, 0, 21, 75, 56, 4, 54, 68, 80, 77, 0, 5, 84, 17, 0, 7, 48, 0, 83, 45, 8, 46, 0, 59, 92, 98, 85, 99, 96, 0, 50, 3, 0, 39, 23, 67, 22, 41, 55, 25, 24, 0, 30, 76, 79, 78, 34, 35, 0, 82, 47, 36, 11, 19, 49, 0, 63, 90, 32, 0, 72, 15, 43, 0, 61, 16, 86, 0, 33, 81, 9, 51, 20, 66, 0, 42, 14, 44, 38, 0, 29, 71, 0, 65, 64, 0",9.824,1851.97,26
