Iteration,Improved path distance,Iteration path,Execution time,Total travel distance,Number of vehicles used
0,2495.254006477961,"0, 0, 94, 6, 96, 37, 0, 27, 68, 80, 0, 53, 40, 58, 0, 89, 0, 97, 0, 13, 0, 31, 88, 7, 0, 95, 59, 99, 93, 0, 28, 26, 54, 4, 0, 78, 9, 51, 34, 3, 77, 0, 57, 87, 74, 0, 39, 23, 25, 0, 83, 60, 0, 52, 82, 48, 0, 32, 0, 50, 0, 2, 98, 44, 91, 0, 42, 14, 92, 61, 17, 0, 69, 1, 70, 0, 64, 19, 11, 0, 12, 76, 79, 0, 18, 100, 0, 33, 81, 35, 0, 21, 73, 0, 20, 0, 5, 45, 16, 86, 84, 8, 46, 0, 56, 0, 10, 0, 15, 43, 0, 85, 0, 72, 75, 41, 22, 55, 24, 0, 49, 0, 62, 63, 90, 0, 30, 71, 66, 0, 29, 67, 38, 0, 47, 36, 65, 0",0.422,2495.25,37
1,2475.8266995062745,"0, 0, 53, 13, 0, 27, 100, 0, 6, 94, 0, 28, 26, 0, 16, 61, 73, 74, 0, 89, 0, 40, 0, 48, 0, 58, 0, 18, 60, 0, 92, 59, 37, 0, 52, 88, 62, 10, 0, 69, 1, 0, 5, 45, 8, 0, 4, 0, 85, 93, 0, 95, 96, 0, 76, 3, 77, 0, 17, 0, 39, 25, 0, 78, 34, 70, 0, 97, 0, 12, 50, 68, 80, 0, 79, 81, 9, 0, 30, 51, 20, 66, 0, 57, 87, 0, 31, 7, 0, 83, 82, 47, 36, 49, 46, 0, 2, 21, 56, 0, 63, 90, 32, 0, 42, 14, 44, 99, 84, 91, 0, 72, 75, 22, 41, 0, 33, 19, 11, 64, 0, 29, 24, 54, 0, 98, 43, 0, 15, 35, 0, 65, 71, 55, 0, 67, 23, 38, 86, 0",0.637,2475.83,39
2,2272.5415430688613,"0, 0, 28, 26, 0, 53, 40, 13, 0, 27, 69, 1, 0, 89, 0, 58, 0, 12, 68, 80, 0, 52, 96, 0, 94, 6, 0, 5, 84, 17, 93, 0, 23, 56, 4, 55, 25, 0, 77, 0, 95, 92, 59, 37, 0, 18, 60, 0, 76, 50, 3, 0, 2, 73, 21, 54, 24, 0, 97, 0, 99, 61, 91, 0, 33, 81, 9, 51, 70, 0, 10, 0, 88, 7, 0, 98, 100, 0, 31, 62, 11, 90, 32, 66, 0, 83, 8, 0, 20, 0, 45, 16, 85, 87, 57, 41, 22, 74, 0, 63, 30, 71, 78, 34, 35, 0, 75, 67, 0, 64, 49, 46, 0, 44, 86, 0, 15, 43, 0, 47, 36, 19, 48, 0, 42, 14, 38, 0, 29, 79, 0, 72, 39, 82, 0, 65, 0",0.861,2272.54,36
6,2185.2416564628725,"0, 0, 58, 0, 53, 40, 26, 0, 27, 69, 1, 0, 2, 57, 22, 74, 25, 0, 28, 76, 50, 3, 77, 24, 80, 0, 89, 60, 0, 18, 0, 13, 0, 5, 84, 17, 0, 52, 88, 7, 0, 48, 0, 94, 6, 96, 0, 82, 8, 46, 0, 83, 45, 47, 36, 62, 10, 20, 0, 95, 59, 37, 0, 31, 70, 0, 16, 91, 100, 0, 99, 93, 0, 12, 68, 0, 98, 85, 97, 0, 42, 87, 0, 64, 49, 0, 21, 73, 0, 92, 14, 38, 43, 0, 72, 75, 23, 56, 4, 55, 54, 0, 41, 0, 33, 79, 81, 9, 51, 0, 29, 78, 34, 35, 0, 90, 32, 0, 30, 71, 66, 0, 61, 44, 86, 0, 63, 11, 19, 0, 15, 39, 67, 0, 65, 0",1.661,2185.24,35
14,2172.4915211138155,"0, 0, 53, 40, 58, 0, 27, 89, 0, 28, 50, 54, 68, 80, 77, 0, 85, 99, 93, 91, 0, 13, 0, 52, 88, 7, 19, 18, 60, 0, 94, 6, 96, 0, 98, 37, 0, 69, 1, 70, 0, 26, 0, 90, 32, 0, 42, 92, 95, 87, 97, 100, 0, 61, 16, 44, 86, 0, 12, 74, 0, 21, 73, 0, 31, 62, 11, 10, 20, 66, 0, 76, 3, 0, 5, 84, 17, 0, 83, 45, 8, 46, 48, 0, 2, 57, 43, 0, 75, 22, 41, 56, 4, 25, 0, 30, 51, 9, 34, 0, 23, 67, 55, 24, 0, 79, 81, 0, 82, 47, 36, 49, 0, 33, 35, 0, 15, 14, 38, 0, 29, 78, 0, 72, 39, 59, 63, 64, 71, 0, 65, 0",3.226,2172.49,31
18,2114.767309065314,"0, 0, 53, 58, 0, 27, 69, 1, 70, 0, 52, 88, 7, 18, 60, 0, 95, 87, 97, 0, 28, 26, 54, 4, 55, 25, 0, 12, 3, 77, 0, 21, 73, 0, 89, 0, 33, 79, 78, 34, 35, 0, 13, 0, 94, 6, 96, 0, 82, 8, 46, 48, 0, 92, 59, 99, 93, 0, 72, 74, 0, 2, 57, 22, 41, 0, 90, 32, 66, 0, 98, 37, 100, 91, 0, 42, 14, 44, 86, 0, 40, 56, 0, 61, 16, 85, 84, 17, 0, 31, 62, 11, 19, 0, 15, 38, 43, 0, 76, 50, 80, 0, 9, 51, 20, 10, 0, 63, 30, 64, 49, 0, 5, 45, 83, 36, 47, 71, 0, 75, 23, 67, 0, 29, 24, 68, 0, 39, 81, 0, 65, 0",3.998,2114.77,31
19,2033.0439463599762,"0, 0, 27, 7, 18, 6, 94, 0, 89, 0, 53, 58, 0, 28, 26, 0, 60, 0, 13, 0, 52, 88, 9, 51, 20, 66, 0, 40, 73, 0, 83, 45, 8, 46, 48, 0, 82, 47, 36, 49, 0, 69, 1, 70, 0, 85, 91, 100, 0, 2, 57, 87, 37, 0, 12, 76, 77, 0, 31, 62, 10, 0, 98, 61, 16, 44, 93, 0, 95, 59, 92, 97, 0, 22, 74, 0, 29, 24, 68, 80, 0, 21, 75, 56, 4, 55, 25, 0, 78, 79, 81, 3, 50, 54, 0, 99, 96, 0, 23, 67, 0, 34, 35, 0, 5, 84, 17, 0, 33, 65, 71, 32, 0, 41, 43, 0, 30, 64, 11, 19, 90, 0, 72, 39, 42, 15, 14, 38, 86, 0, 63, 0",4.191,2033.04,31
32,2015.6264789535453,"0, 0, 28, 26, 0, 27, 69, 1, 0, 53, 58, 0, 50, 10, 70, 0, 52, 88, 7, 8, 46, 48, 0, 13, 0, 89, 60, 0, 40, 73, 0, 94, 100, 91, 0, 30, 51, 9, 81, 0, 95, 92, 59, 99, 96, 97, 37, 93, 0, 72, 75, 22, 74, 0, 12, 76, 77, 0, 6, 0, 2, 57, 41, 56, 0, 21, 4, 54, 24, 68, 80, 0, 31, 18, 0, 98, 85, 84, 17, 0, 23, 67, 55, 25, 0, 82, 47, 36, 49, 0, 15, 43, 0, 83, 5, 61, 16, 44, 86, 0, 79, 78, 34, 35, 0, 63, 32, 0, 39, 42, 14, 38, 87, 0, 33, 65, 71, 66, 20, 0, 19, 11, 90, 0, 62, 64, 3, 0, 29, 0, 45, 0",6.688,2015.63,31
49,2001.1103225161003,"0, 0, 53, 58, 0, 6, 94, 96, 97, 37, 0, 60, 0, 28, 81, 9, 51, 20, 66, 0, 40, 26, 0, 27, 69, 1, 0, 52, 8, 90, 32, 0, 21, 73, 74, 0, 50, 3, 77, 0, 72, 75, 22, 41, 56, 4, 54, 24, 68, 80, 0, 89, 0, 45, 18, 46, 48, 0, 13, 0, 95, 92, 59, 99, 93, 91, 100, 0, 2, 57, 87, 0, 79, 78, 34, 35, 0, 76, 12, 55, 25, 0, 82, 47, 64, 11, 19, 62, 10, 0, 98, 85, 0, 31, 88, 7, 0, 83, 5, 84, 17, 0, 33, 65, 71, 30, 70, 0, 44, 86, 0, 39, 67, 23, 38, 43, 0, 42, 14, 61, 16, 49, 0, 63, 29, 15, 0, 36, 0",9.891,2001.11,28
55,2000.3536156386067,"0, 0, 41, 22, 74, 0, 27, 69, 1, 70, 0, 53, 58, 0, 6, 94, 96, 0, 13, 0, 89, 60, 0, 28, 26, 0, 12, 76, 79, 78, 34, 35, 0, 52, 88, 7, 18, 0, 72, 75, 56, 4, 54, 24, 68, 80, 77, 0, 33, 81, 9, 51, 20, 66, 0, 40, 73, 0, 21, 2, 57, 87, 37, 93, 0, 95, 92, 59, 99, 0, 82, 48, 17, 0, 31, 63, 90, 32, 0, 5, 84, 85, 91, 100, 0, 98, 61, 16, 44, 86, 0, 30, 3, 50, 0, 15, 43, 0, 83, 36, 47, 8, 46, 0, 97, 0, 55, 25, 0, 42, 14, 38, 0, 29, 62, 10, 0, 45, 19, 11, 64, 49, 0, 39, 67, 23, 0, 71, 0, 65, 0",10.998,2000.35,30
57,1976.7648143843955,"0, 0, 27, 69, 1, 70, 0, 53, 58, 0, 28, 76, 50, 3, 80, 0, 6, 94, 96, 0, 40, 26, 74, 0, 88, 7, 18, 60, 0, 52, 97, 37, 100, 91, 93, 0, 72, 21, 73, 75, 22, 41, 56, 4, 54, 24, 68, 77, 0, 95, 59, 99, 0, 89, 13, 0, 83, 5, 84, 17, 0, 38, 86, 0, 92, 85, 0, 34, 35, 0, 55, 25, 0, 12, 29, 78, 79, 81, 51, 9, 10, 0, 31, 62, 19, 11, 64, 49, 0, 2, 57, 87, 0, 33, 71, 66, 20, 0, 98, 61, 16, 44, 0, 30, 90, 32, 0, 45, 8, 46, 48, 0, 15, 43, 0, 36, 47, 82, 0, 42, 14, 67, 23, 0, 65, 63, 39, 0",11.363,1976.76,27
71,1942.667213571663,"0, 0, 53, 58, 0, 28, 76, 50, 77, 0, 89, 60, 91, 100, 0, 27, 69, 1, 70, 0, 13, 0, 12, 79, 78, 34, 35, 0, 40, 26, 74, 0, 6, 94, 96, 0, 52, 88, 7, 18, 46, 48, 0, 22, 41, 56, 4, 54, 24, 68, 80, 0, 90, 32, 0, 99, 93, 0, 95, 59, 92, 98, 37, 97, 0, 31, 63, 11, 19, 62, 30, 10, 0, 55, 25, 0, 2, 57, 87, 0, 84, 17, 0, 44, 86, 0, 39, 67, 23, 75, 73, 0, 83, 5, 61, 16, 85, 0, 21, 0, 45, 8, 0, 72, 15, 43, 0, 29, 3, 0, 82, 47, 36, 49, 0, 33, 81, 51, 9, 20, 66, 0, 65, 71, 64, 0, 42, 14, 38, 0",13.928,1942.67,29
73,1935.111185308615,"0, 0, 76, 50, 1, 70, 0, 53, 58, 0, 6, 94, 37, 100, 91, 0, 27, 69, 12, 29, 78, 34, 35, 0, 28, 81, 51, 9, 20, 66, 32, 0, 40, 26, 74, 0, 95, 44, 86, 0, 89, 13, 0, 92, 59, 99, 96, 97, 93, 0, 21, 73, 75, 22, 41, 56, 4, 54, 24, 68, 80, 77, 0, 52, 48, 0, 31, 88, 7, 18, 60, 0, 2, 57, 87, 0, 72, 39, 67, 23, 25, 0, 83, 45, 8, 46, 0, 16, 85, 0, 82, 47, 19, 49, 0, 30, 90, 0, 98, 61, 84, 17, 0, 33, 79, 3, 55, 0, 5, 42, 14, 38, 43, 0, 62, 10, 0, 15, 11, 64, 0, 63, 36, 65, 71, 0",14.327,1935.11,25
81,1934.43641642322,"0, 0, 53, 58, 0, 27, 69, 1, 70, 0, 28, 26, 54, 24, 68, 80, 77, 0, 89, 60, 0, 40, 37, 100, 91, 0, 6, 94, 96, 97, 93, 0, 21, 73, 74, 0, 52, 7, 18, 85, 0, 30, 90, 32, 0, 36, 64, 11, 19, 62, 10, 0, 13, 0, 31, 88, 8, 46, 48, 0, 5, 61, 16, 44, 86, 17, 0, 95, 59, 92, 98, 99, 84, 0, 12, 76, 50, 3, 55, 25, 0, 2, 57, 87, 0, 72, 41, 22, 0, 82, 47, 49, 0, 79, 81, 9, 51, 20, 66, 0, 29, 78, 34, 35, 0, 83, 45, 14, 38, 43, 0, 33, 71, 0, 42, 15, 67, 23, 56, 0, 39, 4, 0, 63, 65, 75, 0",15.793,1934.44,26
82,1929.2789612043064,"0, 0, 53, 58, 0, 27, 69, 28, 76, 77, 0, 36, 47, 19, 11, 64, 49, 46, 48, 0, 99, 96, 97, 37, 100, 91, 93, 0, 33, 81, 9, 51, 70, 0, 6, 94, 0, 52, 7, 10, 20, 66, 32, 0, 89, 60, 0, 13, 0, 5, 84, 17, 0, 40, 26, 54, 24, 68, 80, 0, 12, 79, 3, 50, 1, 0, 73, 74, 0, 41, 22, 0, 95, 92, 59, 85, 0, 88, 62, 0, 31, 18, 0, 15, 43, 0, 2, 42, 14, 38, 86, 87, 57, 0, 83, 45, 8, 0, 98, 61, 16, 44, 56, 4, 55, 25, 0, 21, 0, 30, 90, 0, 23, 75, 0, 82, 78, 34, 35, 0, 72, 39, 67, 0, 63, 65, 71, 29, 0",15.975,1929.28,28
83,1924.899697865623,"0, 0, 28, 26, 74, 0, 27, 69, 1, 70, 0, 53, 58, 89, 0, 76, 77, 0, 40, 73, 0, 95, 59, 99, 96, 97, 37, 0, 98, 85, 91, 100, 0, 30, 90, 32, 0, 83, 5, 61, 16, 44, 93, 0, 6, 94, 13, 60, 0, 88, 62, 10, 0, 63, 11, 19, 49, 46, 48, 0, 52, 18, 0, 50, 3, 80, 0, 2, 57, 87, 0, 21, 0, 82, 7, 8, 0, 42, 15, 43, 0, 31, 51, 9, 81, 0, 12, 68, 0, 92, 14, 38, 86, 17, 0, 72, 75, 22, 41, 56, 4, 54, 24, 0, 33, 79, 78, 34, 35, 0, 84, 0, 45, 47, 36, 64, 71, 29, 66, 20, 0, 39, 23, 67, 55, 25, 0, 65, 0",16.152,1924.9,28
92,1910.60641614058,"0, 0, 58, 89, 0, 53, 40, 26, 54, 24, 68, 77, 0, 27, 69, 1, 70, 0, 28, 76, 50, 3, 80, 0, 6, 94, 96, 93, 0, 5, 84, 17, 0, 39, 25, 0, 52, 7, 18, 60, 0, 13, 0, 92, 98, 37, 100, 91, 0, 82, 47, 19, 11, 20, 66, 32, 0, 12, 29, 78, 34, 35, 0, 61, 16, 44, 86, 87, 97, 0, 30, 90, 0, 33, 81, 9, 51, 0, 21, 73, 75, 22, 41, 56, 4, 55, 74, 0, 31, 88, 62, 10, 0, 95, 59, 99, 85, 57, 0, 2, 42, 14, 38, 43, 0, 83, 45, 8, 46, 48, 0, 72, 15, 23, 67, 79, 0, 49, 0, 63, 36, 64, 71, 0, 65, 0",17.74,1910.61,25
93,1888.8206650033108,"0, 0, 27, 28, 26, 54, 24, 68, 80, 77, 0, 89, 0, 53, 58, 0, 6, 94, 96, 97, 37, 0, 62, 10, 70, 1, 0, 52, 18, 60, 0, 40, 73, 74, 0, 72, 21, 4, 55, 25, 0, 95, 59, 93, 0, 12, 76, 50, 3, 0, 13, 0, 33, 81, 9, 51, 20, 66, 32, 0, 19, 11, 90, 0, 31, 88, 7, 8, 46, 48, 0, 92, 98, 61, 16, 44, 86, 17, 0, 15, 14, 38, 43, 100, 91, 0, 2, 57, 87, 0, 63, 30, 71, 35, 0, 5, 84, 85, 0, 82, 47, 36, 49, 0, 39, 67, 23, 75, 22, 41, 56, 0, 69, 83, 0, 99, 0, 45, 29, 78, 79, 34, 0, 42, 65, 64, 0",17.915,1888.82,26
103,1804.5189850284885,"0, 0, 53, 40, 58, 89, 0, 27, 28, 26, 97, 37, 100, 91, 93, 0, 95, 59, 99, 96, 0, 6, 94, 13, 60, 0, 33, 81, 9, 51, 20, 66, 32, 0, 67, 23, 75, 22, 41, 56, 4, 55, 25, 0, 62, 19, 11, 90, 70, 1, 0, 52, 18, 0, 69, 50, 3, 77, 24, 0, 2, 57, 87, 0, 76, 12, 68, 80, 0, 31, 88, 7, 48, 0, 63, 30, 10, 0, 92, 98, 85, 84, 17, 0, 5, 61, 16, 44, 86, 0, 15, 43, 0, 21, 73, 74, 0, 29, 78, 34, 35, 0, 79, 54, 0, 72, 39, 42, 14, 38, 0, 83, 45, 8, 46, 0, 82, 47, 36, 49, 0, 65, 71, 64, 0",19.679,1804.52,24
118,1803.200985582681,"0, 0, 89, 13, 0, 27, 28, 26, 74, 0, 53, 40, 58, 0, 97, 37, 100, 91, 0, 92, 98, 85, 99, 96, 93, 0, 61, 16, 44, 86, 17, 0, 52, 18, 6, 94, 0, 76, 12, 68, 80, 77, 0, 95, 59, 5, 84, 60, 0, 33, 79, 3, 50, 1, 70, 0, 83, 45, 8, 46, 48, 0, 69, 88, 7, 0, 31, 10, 0, 2, 57, 87, 0, 15, 72, 21, 73, 75, 22, 41, 56, 4, 55, 25, 0, 82, 47, 19, 11, 90, 32, 66, 0, 42, 43, 0, 62, 30, 51, 9, 81, 78, 34, 35, 0, 29, 24, 54, 0, 63, 64, 49, 0, 67, 23, 0, 36, 65, 71, 20, 0, 39, 14, 38, 0",22.3,1803.2,24
