Iteration,Improved path distance,Iteration path,Execution time,Total travel distance,Number of vehicles used
0,2388.7545712089986,"0, 0, 69, 0, 10, 11, 9, 0, 23, 22, 21, 0, 67, 65, 63, 66, 0, 5, 3, 7, 4, 2, 1, 75, 0, 41, 40, 44, 45, 48, 50, 52, 49, 47, 0, 46, 0, 20, 24, 25, 27, 28, 26, 0, 8, 6, 99, 0, 36, 34, 0, 85, 88, 91, 0, 62, 74, 72, 68, 0, 31, 0, 43, 42, 51, 0, 13, 17, 18, 15, 12, 0, 29, 30, 0, 89, 0, 57, 59, 0, 16, 14, 0, 32, 33, 35, 38, 0, 83, 82, 0, 61, 64, 0, 79, 0, 86, 0, 90, 84, 0, 76, 73, 0, 87, 0, 55, 54, 53, 56, 58, 60, 0, 94, 92, 93, 97, 100, 0, 80, 0, 98, 96, 95, 0, 37, 39, 0, 19, 0, 81, 78, 77, 0, 71, 70, 0",0.695,2388.75,36
1,2238.8849769479025,"0, 0, 25, 0, 67, 65, 63, 74, 72, 61, 64, 68, 69, 0, 49, 47, 0, 23, 0, 45, 48, 50, 52, 0, 2, 1, 75, 0, 36, 34, 0, 20, 21, 0, 5, 3, 8, 9, 6, 4, 0, 29, 28, 26, 22, 0, 43, 42, 41, 40, 44, 46, 51, 0, 62, 66, 0, 32, 33, 38, 0, 10, 11, 0, 7, 88, 89, 91, 0, 24, 27, 30, 0, 84, 85, 0, 100, 0, 90, 87, 86, 83, 82, 93, 0, 18, 15, 12, 0, 37, 39, 0, 60, 0, 97, 0, 13, 17, 19, 16, 14, 99, 0, 54, 53, 56, 58, 59, 0, 94, 92, 0, 57, 55, 80, 0, 98, 96, 95, 70, 73, 77, 79, 0, 71, 0, 81, 78, 76, 0, 31, 35, 0",0.888,2238.88,32
2,2005.94324543659,"0, 0, 67, 65, 63, 74, 72, 61, 64, 68, 69, 0, 25, 27, 26, 0, 4, 0, 22, 21, 0, 57, 55, 54, 39, 36, 34, 0, 20, 24, 29, 30, 28, 23, 0, 49, 47, 0, 43, 42, 41, 40, 44, 46, 51, 50, 52, 0, 5, 3, 1, 0, 66, 0, 7, 6, 0, 10, 11, 9, 0, 62, 45, 48, 0, 2, 75, 0, 8, 12, 0, 98, 96, 95, 92, 93, 97, 100, 99, 0, 60, 0, 89, 0, 90, 87, 86, 83, 82, 84, 85, 88, 91, 0, 19, 15, 14, 0, 13, 17, 18, 16, 0, 32, 33, 35, 38, 0, 94, 77, 79, 0, 31, 37, 59, 0, 81, 78, 76, 73, 0, 53, 56, 58, 80, 0, 71, 70, 0",1.091,2005.94,28
4,1969.5027774278549,"0, 0, 20, 21, 0, 62, 66, 69, 0, 47, 0, 81, 78, 76, 79, 0, 27, 30, 28, 26, 23, 22, 0, 67, 65, 63, 74, 72, 61, 64, 68, 49, 0, 1, 0, 84, 85, 91, 0, 8, 9, 2, 75, 0, 32, 33, 31, 37, 38, 36, 34, 0, 5, 3, 7, 4, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 25, 0, 29, 0, 46, 45, 48, 50, 0, 43, 42, 41, 40, 44, 51, 52, 0, 90, 86, 89, 0, 54, 53, 59, 0, 83, 82, 88, 0, 10, 11, 6, 99, 0, 24, 35, 39, 0, 55, 0, 100, 0, 87, 71, 73, 0, 96, 95, 94, 92, 93, 97, 0, 98, 70, 77, 80, 0, 57, 56, 60, 0, 58, 0",1.465,1969.5,29
6,1804.2345705070184,"0, 0, 20, 21, 0, 67, 65, 63, 74, 0, 22, 0, 26, 0, 25, 27, 30, 28, 23, 0, 5, 3, 7, 8, 10, 11, 9, 6, 4, 2, 1, 75, 0, 24, 29, 49, 47, 0, 62, 66, 69, 0, 43, 46, 45, 48, 50, 52, 0, 89, 91, 0, 81, 78, 76, 71, 77, 79, 80, 0, 87, 86, 85, 88, 99, 0, 61, 64, 68, 0, 42, 41, 40, 44, 51, 0, 90, 84, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 98, 96, 95, 94, 92, 93, 97, 100, 0, 32, 33, 31, 39, 36, 34, 0, 59, 0, 83, 82, 0, 72, 0, 37, 38, 0, 54, 56, 58, 60, 0, 57, 55, 53, 73, 0, 70, 0, 35, 0",1.838,1804.23,27
7,1743.7123820402903,"0, 0, 20, 21, 0, 67, 65, 63, 62, 66, 69, 0, 7, 0, 22, 0, 84, 85, 88, 89, 91, 0, 46, 49, 47, 0, 23, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 5, 3, 8, 9, 2, 1, 75, 0, 30, 28, 26, 0, 27, 0, 61, 64, 68, 0, 10, 11, 6, 4, 0, 74, 72, 77, 79, 80, 0, 24, 25, 29, 0, 43, 42, 40, 44, 45, 48, 50, 52, 0, 32, 33, 31, 38, 0, 87, 86, 83, 82, 0, 90, 39, 36, 34, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 41, 51, 0, 57, 59, 0, 81, 78, 76, 71, 73, 0, 54, 53, 56, 58, 60, 0, 35, 37, 0, 55, 70, 0",2.021,1743.71,27
11,1492.7856086980298,"0, 0, 41, 40, 44, 45, 48, 51, 50, 52, 49, 47, 0, 24, 25, 27, 30, 28, 26, 23, 22, 21, 0, 43, 42, 46, 68, 69, 0, 29, 60, 0, 20, 6, 4, 2, 1, 75, 0, 84, 85, 88, 89, 91, 0, 7, 8, 10, 11, 9, 0, 67, 65, 63, 62, 66, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 5, 3, 71, 70, 73, 77, 79, 80, 0, 87, 86, 83, 82, 0, 74, 72, 61, 64, 0, 58, 0, 90, 0, 98, 96, 95, 94, 93, 97, 100, 99, 0, 32, 33, 31, 35, 37, 38, 39, 36, 34, 0, 55, 54, 53, 56, 59, 0, 81, 78, 76, 92, 0, 57, 0",2.739,1492.79,20
28,1483.4988277128814,"0, 0, 20, 21, 0, 66, 69, 0, 5, 3, 7, 8, 9, 6, 2, 1, 75, 0, 24, 25, 27, 28, 26, 23, 22, 0, 67, 65, 63, 62, 74, 72, 61, 64, 68, 0, 87, 86, 89, 91, 0, 43, 47, 0, 90, 84, 85, 88, 4, 0, 30, 0, 41, 40, 44, 45, 48, 50, 52, 49, 0, 29, 34, 0, 42, 46, 51, 0, 59, 0, 10, 11, 0, 57, 55, 54, 53, 56, 58, 60, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 31, 35, 37, 38, 39, 36, 0, 32, 33, 92, 93, 97, 100, 99, 0, 98, 96, 95, 94, 0, 83, 82, 73, 77, 79, 80, 0, 81, 78, 76, 71, 70, 0",5.626,1483.5,22
30,1375.0773251990042,"0, 0, 72, 61, 64, 68, 69, 0, 20, 21, 0, 67, 65, 63, 62, 66, 0, 88, 89, 91, 0, 40, 44, 45, 48, 50, 52, 49, 47, 0, 24, 25, 27, 28, 26, 23, 22, 0, 10, 11, 9, 6, 4, 2, 1, 75, 0, 74, 46, 0, 5, 3, 7, 8, 0, 43, 42, 41, 51, 0, 29, 30, 34, 0, 87, 86, 83, 82, 84, 85, 0, 90, 97, 100, 99, 0, 13, 17, 18, 19, 15, 16, 14, 12, 0, 32, 33, 31, 35, 37, 38, 39, 36, 0, 96, 95, 94, 92, 93, 0, 98, 70, 73, 77, 79, 80, 0, 57, 55, 54, 53, 56, 58, 60, 59, 0, 81, 78, 76, 71, 0",5.952,1375.08,20
34,1304.457983636716,"0, 0, 20, 21, 0, 67, 65, 63, 62, 66, 69, 0, 5, 3, 7, 8, 9, 6, 4, 2, 1, 75, 0, 24, 25, 27, 26, 23, 22, 0, 42, 46, 47, 0, 43, 49, 0, 81, 78, 76, 71, 70, 73, 77, 79, 80, 0, 29, 30, 28, 0, 10, 11, 0, 32, 33, 36, 34, 0, 57, 55, 54, 53, 56, 58, 60, 59, 0, 89, 91, 0, 84, 85, 88, 0, 41, 40, 44, 45, 48, 50, 52, 0, 98, 96, 95, 94, 92, 93, 97, 100, 99, 0, 74, 72, 61, 64, 68, 0, 90, 87, 86, 83, 82, 0, 13, 17, 18, 14, 12, 0, 31, 35, 37, 38, 39, 51, 0, 19, 15, 16, 0",6.607,1304.46,21
